city;coordinateNumber;nameImpurity;1September;2September;3September;4September;5September;6September;7September;8September;9September;10September;11September;12September;13September;14September;15September;16September;17September;18September;19September;20September;21September;22September;23September;24September;25September;26September;27September;28September;29September;30September;;;;;;;;;;;;
Луцьк;5082530;Завислі речовини;null;0,116666667;0,1;0,083333333;0,05;0,1;0,033333333;null;0,1;0,116666667;0,066666667;0,066666667;0,066666667;0,016666667;null;0,066666667;0,033333333;0,033333333;0,066666667;0,116666667;0,033333333;null;0,1;0,116666667;0,066666667;0,083333333;0,1;0,05;null;0,033333333;;;;;;;;;;;;
Луцьк;5082530;Дiоксид сiрки;null;0,001966667;0,001925;0,003275;0,001891667;0,002183333;0,002641667;null;0,0027;0,002016667;0,002466667;0,003558333;0,002366667;0,002641667;null;0,002008333;0,002625;0,002541667;0,002858333;0,0032;0,002725;null;0,002083333;0,003533333;0,00255;0,002991667;0,003366667;0,002925;null;0,002575;;;;;;;;;;;;
Луцьк;5082530;Сульфати;null;0,01;0,02;0,01;0,005;0,01;0,005;null;0,01;0,01;0,01;0,01;0,01;0;null;0,005;0,01;0,015;0,01;0,01;0;null;0,015;0,01;0,01;0,005;0,01;0,005;null;0,01;;;;;;;;;;;;
Луцьк;5082530;Оксид вуглецю;null;0,166666667;0;0;0;0,333333333;0;null;0,166666667;0;0,166666667;0;0,166666667;0;null;0;0;0,166666667;0,166666667;0,833333333;0;null;0,333333333;0;0,166666667;0,333333333;0,166666667;0;null;0;;;;;;;;;;;;
Луцьк;5082530;Дiоксид азоту;null;0,066866667;0,076116667;0,081633333;0,050366667;0,045075;0,033333333;null;0,042408333;0,053616667;0,058083333;0,06355;0,076366667;0,063341667;null;0,067183333;0,064141667;0,068741667;0,081641667;0,051558333;0,0409;null;0,066675;0,075708333;0,0754;0,078808333;0,0655;0,051333333;null;0,086833333;;;;;;;;;;;;
Луцьк;5082530;Оксид азоту;null;0,0461;0,047275;0,05305;0,0263;0,02415;0,01155;null;0,016375;0,01705;0,014875;0,0233;0,028075;0,024075;null;0,015275;0,018875;0,02435;0,033525;0,029775;0,021025;null;0,03745;0,027125;0,029125;0,033425;0,031425;0,02595;null;0,056975;;;;;;;;;;;;
Луцьк;5082530;Фенол;null;0,006741667;0,008066667;0,007483333;0,006141667;0,005933333;0,005716667;null;0,007383333;0,00645;0,006941667;0,007166667;0,007466667;0,005116667;null;0,006966667;0,007416667;0,006908333;0,005841667;0,006233333;0,005416667;null;0,0073;0,006808333;0,006483333;0,006966667;0,00805;0,005483333;null;0,006483333;;;;;;;;;;;;
Луцьк;5082530;Формальдегiд;null;0,010025;0,0067625;0,0109;0,007975;0,003;0,0056;null;0,005825;0,0098125;0,0052875;0,008625;0,0104;0,006225;null;0,0143875;0,012525;0,007975;0,0089;0,0079875;0,0062125;null;0,012025;0,016325;0,0147125;0,0122125;0,0130875;0,0074125;null;0,0067125;;;;;;;;;;;;
Ужгород;4862230;Завислі речовини;null;0,2625;0,3;0,265;0,2475;0,25;0,2025;null;0,205;0,17;0,14;0,135;0,1475;0,0975;null;0,1125;0,145;0,1375;0,1375;0,1375;0,145;null;0,1525;0,185;0,15;0,1775;0,21;0,22;null;0,16;;;;;;;;;;;;
Ужгород;4862230;Дiоксид сiрки;null;0,015375;0,016625;0,0165;0,0155;0,016125;0,01475;null;0,016375;0,01275;0,0145;0,012625;0,01375;0,016875;null;0,013625;0,012375;0,011375;0,014375;0,01375;0,01175;null;0,015875;0,01375;0,01325;0,017;0,01375;0,013375;null;0,013375;;;;;;;;;;;;
