city;coordinateNumber;nameImpurity;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
Луцьк;5082530;Сульфати;null;0,01;0,01;0,015;0,01;0,01;0,005;null;0,005;0,01;0,01;0,015;0,01;0,005;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Луцьк;5082530;Оксид вуглецю;null;0;0,166666667;0;0;0,333333333;0,166666667;null;0,5;0,5;0,5;0,166666667;0,333333333;0,666666667;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Луцьк;5082530;Дiоксид азоту;null;0,065358333;0,057991667;0,112825;0,106241667;0,063158333;0,042608333;null;0,081583333;0,086666667;0,109366667;0,103283333;0,083008333;0,050016667;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Луцьк;5082530;Оксид азоту;null;0,026075;0,015025;0,0408;0,033575;0,012;0,01695;null;0,01945;0,038025;0,0331;0,03995;0,024225;0,02045;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Луцьк;5082530;Фенол;null;0,006133333;0,00545;0,0072;0,006608333;0,005875;0,00515;null;0,005483333;0,004558333;0,005966667;0,005233333;0,004708333;0,005058333;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Луцьк;5082530;Формальдегiд;null;0,009325;0,0077;0,0108;0,0105;0,0079625;0,0062375;null;0,0058125;0,0062;0,0086875;0,0061375;0,0054125;0,0055875;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Ужгород;4862230;Завислі речовини;null;0,1;0,1;0,0825;0,1125;0,1325;0,11;null;0,0525;0,015;0,0825;0,1075;0,1475;0,12;null;0,115;0,115;0,0725;0,0825;0,13;0,16;null;0,135;0,08;0,1375;0,0925;0,235;0,1175;null;0,0725
Ужгород;4862230;Дiоксид сiрки;null;0,00825;0,006875;0,004875;0,003;0,013375;0,008375;null;0,015625;0,013;0,01025;0,009125;0,014125;0,0175;null;0,016125;0,007625;0,0085;0,008875;0,007625;0,00825;null;0,0055;0,0105;0,006625;0,013125;0,009375;0,009125;null;0,010125
Ужгород;4862230;Сульфати;null;0,002;0,0005;0,004;0,0025;0,004;0,007;null;0,0005;0,0015;0,001;0,0045;0,0025;0,0045;null;0,0075;0,0015;0,001;0,004;0,0025;0,004;null;0,067;0,029;0,0065;0,008;0,0065;0,0375;null;0,006
Ужгород;4862230;Оксид вуглецю;null;0,8825;0,72;0,87;0,8175;0,935;0,855;null;0,7875;0,7275;0,79;0,79;0,75;0,78;null;0,825;0,755;0,795;0,84;0,6825;0,75;null;0,845;0,75;0,795;1,015;0,78;0,71;null;0,725
Ужгород;4862230;Дiоксид азоту;null;0,062625;0,052875;0,0435;0,05875;0,06925;0,06925;null;0,054;0,04725;0,046625;0,042125;0,03875;0,04875;null;0,047625;0,041375;0,041375;0,057;0,03575;0,03775;null;0,048625;0,045625;0,046375;0,057125;0,072125;0,050125;null;0,045125
Ужгород;4862230;Оксид азоту;null;0,048;0,03475;0,07;0,078;0,0815;0,0925;null;0,0345;0,06075;0,02825;0,02075;0,0195;0,0225;null;0,05575;0,018;0,04925;0,03075;0,02125;0,0245;null;0,059;0,02375;0,055;0,04075;0,053;0,0285;null;0,0265
Ужгород;4862230;Формальдегiд;null;0,024375;0,019;0,017125;0,01775;0,029;0,030875;null;0,012875;0,018625;0,008625;0,007375;0,0095;0,005125;null;0,02925;0,009125;0,01075;0,013875;0,006;0,00775;null;0,030625;0,0215;0,0765;0,011125;0,012125;0,00425;null;0,0035
Запоріжжя;4793510;Завислі речовини;null;0,15;0,13;0,09;0,13;0,08;0,07;null;0,1;0,08;0,14;0,06;0,09;0,12;null;0,09;0,11;0,09;0,09;0,07;0,08;null;0,1;0,1;0,088888889;0,075;0,075;0,075;null;0,0875
Запоріжжя;4793510;Дiоксид сiрки;null;0,0062;0,005707143;0,005507143;0,006478571;0,006242857;0,00455;null;0,006492308;0,005507143;0,006635714;0,00595;0,005392857;0,005621429;null;0,005569231;0,006107143;0,007892857;0,006485714;0,005342857;0,005707143;null;0,006023077;0,006385714;0,006492308;0,00669;0,00575;0,00589;null;0,00668
Запоріжжя;4793510;Сульфати;null;0,01;0,005;0,01;0,01;0,01;0,01;null;0,01;0;0,01;0,015;0,015;0,01;null;0,015;0,015;0,02;0,02;0,015;0,02;null;0,015;0,015;0,01;null;null;null;null;null
Запоріжжя;4793510;Оксид вуглецю;null;0,45;0,71;0,43;0,55;0,58;0,58;null;0,56;0,47;0,52;0,43;0,47;0,48;null;0,5;0,5;0,43;0,45;0,48;0,51;null;0,44;0,44;0,45;0,49;0,5;0,55;null;0,48
Запоріжжя;4793510;Дiоксид азоту;null;0,072976923;0,075307143;0,06445;0,068992857;0,073085714;0,056014286;null;0,058146154;0,05055;0,066157143;0,084485714;0,061142857;0,040157143;null;0,075115385;0,059764286;0,095835714;0,061442857;0,078321429;0,058407143;null;0,071976923;0,073314286;0,0629;0,07184;0,07522;0,05093;null;0,06184
Запоріжжя;4793510;Оксид азоту;null;0,0489;0,035233333;0,0494;0,0417;0,034866667;0,028333333;null;0,0332;0,025933333;0,0442;0,0631;0,032366667;0,034566667;null;0,041666667;0,037666667;0,060966667;0,042433333;0,0538;0,045933333;null;0,039066667;0,051366667;0,0419;0,047166667;0,0582;0,0439;null;0,040066667
Запоріжжя;4793510;Сiрководень;null;0,004511111;0,003572727;0,003036364;0,003563636;0,003881818;0,002836364;null;0,003577778;0,003954545;0,004272727;0,005418182;0,003354545;0,002518182;null;0,003411111;0,002881818;0,0036;0,002963636;0,003145455;0,002927273;null;0,003288889;0,003618182;0,00313;0,004157143;0,0039;0,002928571;null;0,003016667
