city;coordinateNumber;nameImpurity;1December;2December;3December;4December;5December;6December;7December;8December;9December;10December;11December;12December;13December;14December;15December;16December;17December;18December;19December;20December;21December;22December;23December;24December;25December;26December;27December;28December;29December;30December;31December;
Луцьк;5082530;Дiоксид сiрки;null;0,002308333;0,001866667;0,00215;0,002091667;0,002491667;0,002466667;null;0,00235;0,0023;0,001666667;0,001791667;0,001491667;0,001041667;null;0,001825;0,001858333;0,0018;0,00105;0,0016;0,00165;null;0,001983333;0,0018;0,002108333;0,002483333;0,001641667;0,001683333;null;0,002258333;0,001808333;
Луцьк;5082530;Сульфати;null;0,01;0,01;0,01;0,01;0,01;0;null;0,005;0,01;0,005;0,01;0,01;0,005;null;0;0,005;0,01;0,01;0,01;0,005;null;0,01;0,005;0;0,005;0,005;0;null;0,01;0,01;
Луцьк;5082530;Оксид вуглецю;null;0,333333333;0;0;0;0;0;null;0,5;0;0;0;0,333333333;0;null;0;0,166666667;0,166666667;0;0,333333333;0;null;0,5;0;0;0;0,333333333;0;null;0,166666667;0,333333333;
Луцьк;5082530;Дiоксид азоту;null;0,091391667;0,062783333;0,0614;0,055625;0,059466667;0,04815;null;0,068941667;0,075308333;0,06215;0,057191667;0,049533333;0,033658333;null;0,055483333;0,076408333;0,093441667;0,074383333;0,046941667;0,043125;null;0,053183333;0,052783333;0,047816667;0,060525;0,048375;0,044791667;null;0,061916667;0,051458333;
Луцьк;5082530;Оксид азоту;null;0,029775;0,026925;0,03085;0,03295;0,03235;0,03045;null;0,029975;0,03275;0,027;0,01265;0,019025;0,01805;null;0,024175;0,038775;0,055225;0,026175;0,019225;0,026475;null;0,0176;0,0227;0,02415;0,020725;0,0188;0,012275;null;0,0217;0,017825;
Луцьк;5082530;Фенол;null;0,005183333;0,0051;0,005475;0,005608333;0,00585;0,00465;null;0,005841667;0,006683333;0,005808333;0,006041667;0,005983333;0,004833333;null;0,0052;0,00495;0,00625;0,005416667;0,005433333;0,00495;null;0,005533333;0,0059;0,006075;0,00505;0,006516667;0,004783333;null;0,007025;0,006316667;
Луцьк;5082530;Формальдегiд;null;0,00335;0,00615;0,007325;0,003025;0,003625;0,0026;null;0,0033375;0,00315;0,002275;0,0029375;0,00335;0,0028375;null;0,003225;0,0041;0,005475;0,0078;0,0049125;0,001975;null;0,0025375;0,0032875;0,006575;0,0080625;0,0055875;0,004;null;0,0049125;0,0041;
Ужгород;4862230;Завислі речовини;null;0,195;0,215;0,225;0,24;0,225;0,265;null;0,2025;0,2175;0,1925;0,16;0,2025;0,245;null;0,225;0,2375;0,2175;0,23;0,235;0,205;null;0,225;0,165;0,1975;0,22;0,2075;0,2;null;0,195;0,2125;
Ужгород;4862230;Дiоксид сiрки;null;0,013;0,012375;0,01425;0,015375;0,014125;0,013625;null;0,01375;0,014125;0,009375;0,0115;0,014875;0,0175;null;0,015;0,011625;0,011625;0,0135;0,0155;0,01375;null;0,014625;0,01225;0,01325;0,013875;0,015375;0,0135;null;0,0135;0,014625;
Ужгород;4862230;Сульфати;null;0,0055;0,003;0,0055;0,0055;0,0055;0,0065;null;0,0065;0,004;0,0045;0,0045;0,007;0,0075;null;0,008;0,006;0,011;0,0165;0,007;0,006;null;0,01;0,012;0,012;0,0075;0,008;0,01;null;0,0105;0,0095;
Ужгород;4862230;Оксид вуглецю;null;1,2775;1,04;1,14;1,275;0,89;0,9125;null;1,0675;0,7575;0,7425;0,75;1,12;0,9575;null;1,0425;1,43;1,0975;1,095;1;0,995;null;0,965;0,7625;0,705;1,0375;1;1,1125;null;0,845;0,925;
Ужгород;4862230;Дiоксид азоту;null;0,04825;0,099375;0,072375;0,06275;0,05175;0,063625;null;0,092375;0,0535;0,041375;0,051625;0,055375;0,066625;null;0,052125;0,042625;0,038375;0,0585;0,055625;0,062625;null;0,050375;0,044375;0,051875;0,05525;0,065875;0,08875;null;0,053;0,072;
Ужгород;4862230;Оксид азоту;null;0,02725;0,05375;0,037;0,04175;0,05025;0,0365;null;0,0755;0,03475;0,023;0,039;0,03475;0,055;null;0,03525;0,02975;0,0225;0,03775;0,03475;0,0405;null;0,03475;0,0215;0,0265;0,0375;0,03125;0,045;null;0,038;0,037;
Ужгород;4862230;Формальдегiд;null;0,006375;0,005375;0,006125;0,0075;0,00675;0,006875;null;0,007875;0,00725;0,004625;0,004625;0,006375;0,006375;null;0,006625;0,004625;0,005125;0,005125;0,005875;0,004375;null;0,005375;0,006125;0,006;0,006125;0,007;0,0075;null;0,007;0,006625;
