city;coordinateNumber;nameImpurity;1August;2August;3August;4August;5August;6August;7August;8August;9August;10August;11August;12August;13August;14August;15August;16August;17August;18August;19August;20August;21August;22August;23August;24August;25August;26August;27August;28August;29August;30August;31August
Луцьк;5082530;Завислі речовини;0,083333333;0,066666667;0,016666667;null;0,05;0,033333333;0,083333333;0,05;0,083333333;0,016666667;null;0,066666667;0,083333333;0,066666667;0,066666667;0,066666667;0,083333333;null;0,066666667;0,05;0,116666667;0,066666667;0,116666667;0,1;null;0,033333333;0,083333333;0,083333333;0,1;0,05;0,066666667
Луцьк;5082530;Дiоксид сiрки;0,002058333;0,001891667;0,001625;null;0,00145;0,002458333;0,001975;0,002;0,0012;0,002116667;null;0,001691667;0,001575;0,001633333;0,002466667;0,002108333;0,002658333;null;0,002516667;0,002583333;0,003641667;0,003166667;0,003066667;0,003241667;null;0,002825;0,003141667;0,002775;0,001358333;0,002016667;0,002125
Луцьк;5082530;Сульфати;0,01;0,01;0;null;0;0,005;0,01;0,01;0,01;0,01;null;0,01;0,005;0;0,01;0,01;0,01;null;0,01;0,01;0,01;0,015;0,015;0,01;null;0,01;0,01;0,01;0,005;0;0,005
Луцьк;5082530;Оксид вуглецю;0,5;0,666666667;0;null;0;0;0,166666667;0;0;0;null;0;0,5;0,5;0,5;0,666666667;0,833333333;null;0,666666667;0,5;1;0,833333333;0,666666667;0,666666667;null;1;0,666666667;0,5;0,333333333;0;0
Луцьк;5082530;Дiоксид азоту;0,0557;0,045958333;0,0478;null;0,05375;0,051308333;0,049391667;0,062291667;0,055675;0,042691667;null;0,050108333;0,036716667;0,0412;0,050175;0,049416667;0,035425;null;0,058558333;0,050416667;0,057691667;0,070516667;0,051883333;0,046175;null;0,055291667;0,054258333;0,0619;0,075625;0,049575;0,065975
Луцьк;5082530;Оксид азоту;0,0238;0,020925;0,027575;null;0,0183;0,024625;0,020925;0,02085;0,0294;0,016875;null;0,018175;0,019925;0,0273;0,0375;0,024775;0,01685;null;0,014925;0,041475;0,02655;0,03765;0,021325;0,0253;null;0,033875;0,0249;0,0407;0,029175;0,024225;0,022075
Луцьк;5082530;Фенол;0,006591667;0,006308333;0,004866667;null;0,005425;0,006233333;0,007258333;0,005883333;0,007;0,006066667;null;0,006566667;0,006633333;0,006841667;0,006491667;0,006575;0,006933333;null;0,008608333;0,008358333;0,009;0,006583333;0,007141667;0,007183333;null;0,007075;0,006933333;0,006716667;0,00685;0,004275;0,005841667
Луцьк;5082530;Формальдегiд;0,0097625;0,0075875;0,0049125;null;0,014325;0,0163375;0,0181375;0,0176375;0,0148;0,0091;null;0,0078;0,0062875;0,00685;0,007075;0,009525;0,0070375;null;0,0190375;0,0194375;0,0200625;0,0175875;0,0105625;0,007925;null;0,0101375;0,01095;0,01005;0,0083625;0,0064875;0,00735
Ужгород;4862230;Завислі речовини;0,1475;0,1725;0,15;null;0,1325;0,1375;0,1775;0,1325;0,135;0,2025;null;0,28;0,1775;0,2;0,2225;0,2375;0,2375;null;0,2475;0,225;0,25;0,235;0,2525;0,2775;null;0,255;0,2675;0,21;0,2175;0,2175;0,2475
Ужгород;4862230;Дiоксид сiрки;0,015125;0,014125;0,014875;null;0,015875;0,014;0,01525;0,013125;0,0175;0,0145;null;0,014;0,013125;0,016375;0,015625;0,016125;0,013625;null;0,012875;0,011875;0,014857143;0,013625;0,011;0,013625;null;0,015375;0,013375;0,013375;0,0175;0,01625;0,01375
