city;coordinateNumber;nameImpurity;1March;2March;4March;5March;6March;7March;8March;9March;11March;12March;13March;14March;15March;16March;18March;19March;20March;21March;22March;23March;25March;26March;27March;28March;29March;30March
Луцьк;5082530;Оксид вуглецю;0,166666667;0;0;0;0;0,166666667;0,333333333;0,166666667;0,333333333;0,5;0,666666667;0,666666667;0,5;0;0;0;0;0,166666667;0,166666667;0;0,5;0,666666667;0,5;0,666666667;0,333333333;0
Луцьк;5082530;Дiоксид азоту;0,132266667;0,068341667;0,050833333;0,112025;0,117358333;0,064591667;0,070058333;0,067341667;0,107;0,103508333;0,096033333;0,1224;0,156108333;0,101891667;0,136766667;0,100208333;0,104258333;0,1148;0,118266667;0,084583333;0,124458333;0,081808333;0,085691667;0,057091667;0,091891667;0,074225
Луцьк;5082530;Оксид азоту;0,08225;0,04015;0,035375;0,0631;0,0509;0,0228;0,025525;0,0158;0,052025;0,061225;0,04275;0,026275;0,08345;0,05535;0,073075;0,049375;0,03275;0,04715;0,05355;0,0351;0,047375;0,03755;0,0525;0,03025;0,053725;0,0478
Луцьк;5082530;Фенол;0,006616667;0,005566667;0,00625;0,006691667;0,00795;0,007533333;0,0074;0,006183333;0,007591667;0,0065;0,009083333;0,008175;0,007691667;0,0057;0,007291667;0,00835;0,0084;0,006025;0,006333333;0,005508333;0,0068;0,006375;0,005875;0,005766667;0,0071;0,004941667
Луцьк;5082530;Формальдегiд;0,00565;0,00535;0,005225;0,0051375;0,0051625;0,00405;0,0032625;0,003825;0,00645;0,005625;0,00495;0,007725;0,0063625;0,003425;0,003375;0,00405;0,0059625;0,0043375;0,003975;0,0036375;0,0049;0,00535;0,0042;0,004425;0,004075;0,0040125
Ужгород;4862230;Завислі речовини;0,1625;0,125;0,1225;0,1575;0,1225;0,125;0,1225;0,12;0,1325;0,1175;0,105;0,0875;0,1075;0,1175;0,11;0,125;0,1325;0,1225;0,1275;0,1025;0,0975;0,11;0,12;0,1175;0,12;0,1425
Ужгород;4862230;Дiоксид сiрки;0,017;0,01525;0,016875;0,01475;0,0145;0,013875;0,013625;0,014625;0,01625;0,015;0,01425;0,012875;0,013;0,013625;0,01525;0,013875;0,014375;0,01525;0,014;0,012625;0,0135;0,01375;0,012375;0,01225;0,011875;0,013625
Ужгород;4862230;Сульфати;0,0065;0,011;0,0095;0,0075;0,0075;0,0055;0,0085;0,01;0,009;0,0055;0,0035;0,0055;0,004;0,0085;0,007;0,0075;0,0065;0,007;0,0045;0,0045;0,004;0,0045;0,006;0,0055;0,006;0,0075
Ужгород;4862230;Оксид вуглецю;1,4425;0,895;1,2175;1,015;0,7375;0,7;0,7275;0,8975;0,8275;0,95;0,7425;0,6725;0,885;1,005;0,64;0,75;0,805;0,79;1,05;0,8275;0,7025;0,71;0,83;0,6675;0,855;0,78
Ужгород;4862230;Дiоксид азоту;0,071625;0,069375;0,06;0,05725;0,05675;0,061;0,06025;0,046125;0,06625;0,0715;0,045125;0,03775;0,048;0,06375;0,067375;0,058625;0,048375;0,0495;0,057125;0,052625;0,042125;0,050875;0,05475;0,046875;0,040625;0,057625
Ужгород;4862230;Оксид азоту;0,024;0,0415;0,04175;0,03725;0,03225;0,02875;0,028;0,02825;0,02725;0,0415;0,02575;0,0225;0,0245;0,03475;0,03625;0,04;0,03025;0,02775;0,02525;0,036;0,0225;0,02875;0,03;0,0345;0,0325;0,05375
Ужгород;4862230;Формальдегiд;0,009375;0,0085;0,006625;0,005625;0,00725;0,006625;0,008375;0,006;0,0055;0,007125;0,006;0,005875;0,005;0,005875;0,007375;0,00675;0,006625;0,006375;0,0065;0,007;0,007375;0,00675;0,007375;0,0065;0,008;0,00875
Запоріжжя;4793510;Завислі речовини;0,15;0,25;0,15;0,13;0,19;0,17;0,13;0,16;0,22;0,12;0,16;0,22;0,15;0,21;0,15;0,14;0,13;0,08;0,1;0,1;0,12;0,13;0,1;0,12;0,08;0,11
Запоріжжя;4793510;Дiоксид сiрки;0,007557143;0,00715;0,0064;0,006164286;0,0068;0,006857143;0,006835714;0,006421429;0,008438462;0,006864286;0,007035714;0,006707143;0,006771429;0,006935714;0,006792308;0,006335714;0,008057143;0,008214286;0,006984615;0,006164286;0,005892308;0,0063;0,006128571;0,005842857;0,006564286;0,006107143
Запоріжжя;4793510;Сульфати;0,015;0,01;0,01;0,015;0,01;0,015;0,015;0,01;0,025;0,01;0,015;0,01;0,02;0,01;0,01;0,015;0,01;0,01;0,015;0,01;0,015;0,02;0,015;0,01;0,01;0,01
Запоріжжя;4793510;Оксид вуглецю;0,39;0,15;0,25;0,19;0,14;0,16;0,25;0,25;0,18;0,42;0,33;0,79;0,37;0,26;0,27;0,16;0,23;0,29;0,2;0,26;0,15;0,44;0,21;0,25;0,22;0,32
Запоріжжя;4793510;Дiоксид азоту;0,074778571;0,052207143;0,058415385;0,0743;0,072392857;0,081071429;0,074492857;0,059342857;0,094638462;0,067414286;0,058878571;0,07045;0,070685714;0,068807143;0,058661538;0,046607143;0,050814286;0,083785714;0,076984615;0,057371429;0,071153846;0,088071429;0,079814286;0,0553;0,057242857;0,042714286
Запоріжжя;4793510;Оксид азоту;0,054433333;0,043666667;0,039666667;0,0463;0,0678;0,052;0,058333333;0,042;0,066966667;0,0411;0,039433333;0,041633333;0,034833333;0,037133333;0,050933333;0,040033333;0,033266667;0,061433333;0,0475;0,0398;0,0607;0,0518;0,049166667;0,0406;0,018366667;0,029566667
Запоріжжя;4793510;Сiрководень;0,002927273;0,002945455;0,002633333;0,003690909;0,004054545;0,004036364;0,0044;0,003436364;0,003466667;0,002563636;0,004672727;0,004363636;0,003709091;0,002672727;0,002933333;0,0036;0,002890909;0,003018182;0,003545455;0,002945455;0,003622222;0,003463636;0,002936364;0,002809091;0,002663636;0,002236364
Запоріжжя;4793510;Фенол;0,00487;0,00742;0,006288889;0,00714;0,00562;0,006;0,00745;0,00403;0,007811111;0,00511;0,0053;0,00466;0,00602;0,00613;0,006522222;0,00706;0,00639;0,00765;0,00663;0,00461;0,006477778;0,00741;0,00603;0,00419;0,00516;0,00558
Запоріжжя;4793510;Фтористий водень;0,0004;0,000425;0,0002;0,000575;0,000425;0,000475;0,000525;0,000425;0,000966667;0;0,00015;0,000575;0,0003;0,00015;0;0,0003;0,000725;0,0003;0,0004;0;0;0,000475;0,000475;0;0,00035;0
Запоріжжя;4793510;Хлористий водень;0,03885;0,0341;0,027933333;0,0344125;0,0414875;0,04125;0,03265;0,0430625;0,041883333;0,0266;0,0476;0,0416375;0,0426125;0,031725;0,031466667;0,044725;0,0425625;0,0301125;0,038042857;0,0349875;0,037883333;0,0398125;0,0394625;0,0394875;0,0352875;0,0271
Запоріжжя;4793510;Формальдегiд;0,0063;0,00665;0,004233333;0,0043;0,0043;0,00585;0,0069;0,0069;0,007966667;0,0068;0,00475;0,0016;0,0044;0,006525;0,0077;0,00565;0,00565;0,003375;0,006325;0,006125;0,009466667;0,005925;0,007825;0,005925;0,00585;0,00365
Івано-Франківськ;4892470;Завислі речовини;0,105;0,15;0,155;0,14;0,135;0,145;0,16;0,14;0,105;0,15;0,105;0,14;0,105;0,15;0,105;0,145;0,14;0,115;0,115;0,15;0,145;0,14;0,15;0,15;0,13;0,145
Івано-Франківськ;4892470;Дiоксид сiрки;0,0084;0,00885;0,0077;0,007625;0,0068;0,00745;0,007125;0,005675;0,00685;0,007275;0,007225;0,016975;0,0083;0,00765;0,005625;0,004875;0,00525;0,0068;0,013425;0,0082;0,0031;0,00385;0,00315;0,00395;0,00315;0,00395
Івано-Франківськ;4892470;Оксид вуглецю;1,8;1,65;1,95;1,7;1,6;1,85;1,9;1,7;1,3;1,85;1,25;1,7;1,3;1,85;1,3;1,9;1,75;1,45;1,5;1,85;1,75;1,65;1,8;1,75;1,6;1,95
Івано-Франківськ;4892470;Дiоксид азоту;0,042825;0,0353;0,056975;0,0406;0,040275;0,041975;0,0404;0,045875;0,041625;0,041225;0,041525;0,036425;0,038175;0,0562;0,038575;0,040425;0,04585;0,04365;0,04135;0,0383;0,04035;0,033;0,037875;0,04305;0,043475;0,039525
Івано-Франківськ;4892470;Оксид азоту;0,028275;0,02335;0,03615;0,027675;0,02635;0,027375;0,0271;0,0301;0,027925;0,02805;0,02785;0,025475;0,0254;0,036425;0,026;0,026075;0,029375;0,0291;0,027375;0,0256;0,0268;0,021925;0,024925;0,0281;0,027975;0,025575
Дніпро;4863510;Завислі речовини;0,2875;0,175;0,225;0,325;0,3125;0,275;0,275;0,25;0,2625;0,25;0,25;0,225;0,175;0,225;0,2375;0,225;0,275;0,2625;0,242857143;0,2125;0,2375;0,2375;0,2875;0,2375;0,275;0,25
Дніпро;4863510;Дiоксид сiрки;0,017708333;0,016;0,013055556;0,016416667;0,010208333;0,008916667;0,013625;0,019083333;0,011888889;0,018041667;0,014416667;0,01325;0,008458333;0,007916667;0,011222222;0,013208333;0,012083333;0,014625;0,010727273;0,008958333;0,0135;0,00975;0,022291667;0,012083333;0,011875;0,019291667
Дніпро;4863510;Оксид вуглецю;2,25;2,166666667;2,25;1,666666667;2,083333333;2;1,916666667;1,75;1,833333333;2,166666667;2,083333333;2;2,5;1,833333333;2,083333333;1,916666667;2,25;2,416666667;2,25;1,583333333;2;2,583333333;1,833333333;1,833333333;2,333333333;2,25
Дніпро;4863510;Дiоксид азоту;0,06;0,067083333;0,063888889;0,05375;0,056666667;0,052916667;0,062083333;0,05625;0,063333333;0,05375;0,054583333;0,05625;0,060416667;0,060416667;0,066111111;0,06;0,060833333;0,055;0,059545455;0,057083333;0,056111111;0,057083333;0,065416667;0,06;0,062083333;0,061666667
Дніпро;4863510;Оксид азоту;0,0375;0,0375;0,03;0,035;0,03;0,035;0,03;0,0325;0,036666667;0,0275;0,0275;0,035;0,0275;0,0325;0,043333333;0,0325;0,04;0,03;0,026666667;0,035;0,04;0,03;0,035;0,0375;0,03;0,0275
Дніпро;4863510;Сiрководень;0,002041667;0,002333333;0,001222222;0,001916667;0,001833333;0,001;0,002416667;0,002833333;0,001055556;0,00125;0,001333333;0,001791667;0,001875;0,001375;0,001555556;0,002583333;0,001416667;0,001875;0,002090909;0,001541667;0,0015;0,001583333;0,004125;0,001833333;0,002333333;0,003125
Дніпро;4863510;Фенол;0,002166667;0,002166667;0,002111111;0,001333333;0,002416667;0,002416667;0,00125;0,001416667;0,002222222;0,001916667;0,001166667;0,002083333;0,001833333;0,001416667;0,002111111;0,001083333;0,00175;0,00225;0,002454545;0,00075;0,002555556;0,001833333;0,00325;0,002583333;0,001916667;0,001916667
Дніпро;4863510;Амiак;0,03875;0,03875;0,041666667;0,0325;0,0375;0,035;0,03875;0,02625;0,033333333;0,0225;0,03125;0,035;0,0275;0,0275;0,036666667;0,02125;0,0275;0,03375;0,035;0,03375;0,028333333;0,02875;0,0225;0,02625;0,03375;0,03625
