city;coordinateNumber;nameImpurity;1April;2April;3April;4April;5April;6April;8April;9April;10April;11April;12April;13April;15April;16April;17April;18April;19April;20April;22April;23April;24April;25April;26April;27April;29April;30April
Вінниця;4922860;Фтористий водень;0,0049125;0,004925;0,0025875;0,002575;0,006175;0,0026;0,0033625;0,006675;0,008525;0,0011;0,00185;0,0050875;0,0078125;0,0049375;0,0069375;0,0021875;0,0032625;0,00535;0,0068375;0,000375;0,0133125;0,0036875;0,0018375;0,004325;0,0075875;0,0007375
Вінниця;4922860;Амiак;0,0208;0,013275;0,0037;0,011075;0;0,0075;0,0147;0,00765;0;0;0;0;0,01115;0,020575;0,018375;0,009175;0,01095;0,02355;0,009025;0;0,018575;0,01295;0,02025;0,007325;0,00355;0,003775
Вінниця;4922860;Формальдегiд;0,0124;0,02275;0,01425;0,0141;0,0078;0,01795;0,0163;0,0185;0,01215;0,002;0;0;0,00205;0;0,006;0,006;0,0099;0,00195;0,0079;0,00395;0;0,0061;0,00405;0,0061;0,0099;0,00595
Луцьк;5082530;Завислі речовини;0,116666667;0,133333333;0,083333333;0,083333333;0,05;0,066666667;0,083333333;0,1;0,066666667;0,083333333;0,066666667;0,083333333;0,1;0,033333333;0,1;0,033333333;0,05;0,033333333;0,05;0,05;0,083333333;0,05;0,05;0,066666667;0,083333333;0,083333333
Луцьк;5082530;Дiоксид сiрки;0,001525;0,002483333;0,001691667;0,001791667;0,002225;0,000991667;0,001691667;0,00255;0,001641667;0,002358333;0,002083333;0,0024;0,001891667;0,00245;0,002683333;0,002875;0,002366667;0,001841667;0,001733333;0,002583333;0,001833333;0,001933333;0,002258333;0,001441667;0,001775;0,0022
Луцьк;5082530;Сульфати;0,015;0,01;0;0,005;0,01;0,005;0,01;0,01;0;0,01;0,01;0,005;0,01;0,01;0,015;0,005;0,01;0,01;0,01;0,01;0,01;0,005;0,01;0,01;0,01;0,01
Луцьк;5082530;Оксид вуглецю;0,333333333;0,333333333;0,166666667;0,166666667;0,333333333;0;0,5;0,333333333;0;0;0;0;0,166666667;0;0;0,166666667;0;0;0;0,166666667;0;0;0;0;0;0
Луцьк;5082530;Дiоксид азоту;0,078941667;0,073766667;0,0888;0,095025;0,093091667;0,0612;0,104883333;0,08245;0,075216667;0,060258333;0,091;0,073816667;0,073025;0,0719;0,069058333;0,070483333;0,078791667;0,050766667;0,070266667;0,087816667;0,094825;0,093958333;0,080083333;0,06725;0,066025;0,058841667
Луцьк;5082530;Оксид азоту;0,036775;0,02875;0,040175;0,057125;0,0506;0,033525;0,069825;0,036225;0,041125;0,0171;0,037575;0,04555;0,030175;0,036575;0,032125;0,023025;0,04155;0,023;0,02325;0,06945;0,062025;0,0587;0,042875;0,03165;0,03875;0,01605
Луцьк;5082530;Фенол;0,006975;0,006591667;0,007016667;0,0075;0,006366667;0,005966667;0,007725;0,0054;0,006691667;0,006825;0,006316667;0,005258333;0,006508333;0,005591667;0,00805;0,008358333;0,007025;0,006558333;0,005833333;0,005475;0,005133333;0,005366667;0,00615;0,005383333;0,007341667;0,007275
Луцьк;5082530;Формальдегiд;0,009425;0,01135;0,00655;0,0060875;0,0066375;0,00445;0,006075;0,006325;0,0070375;0,005125;0,0076625;0,0064375;0,0068;0,0062375;0,007;0,0062375;0,00575;0,004875;0,0053625;0,00745;0,01045;0,010575;0,01075;0,0101125;0,015725;0,0078
Ужгород;4862230;Завислі речовини;0,2325;0,1775;0,135;0,1125;0,12;0,1625;0,135;0,1275;0,1425;0,18;0,195;0,1475;0,2725;0,1375;0,1075;0,125;0,1675;0,16;0,0875;0,0825;0,1125;0,1075;0,12;0,1075;0,14;0,1575
