city;coordinateNumber;nameImpurity;1May;2May;3May;4May;6May;7May;8May;9May;10May;11May;13May;14May;15May;16May;17May;18May;20May;21May;22May;23May;24May;25May;27May;28May;29May;30May;31May
Луцьк;5082530;Дiоксид сiрки;0,002566667;0,002508333;0,002891667;0,002375;0,001325;0,002158333;0,002633333;0,001433333;0,001533333;0,001316667;0,001825;0,002683333;0,001433333;0,001983333;0,002083333;0,001725;0,001958333;0,002258333;0,002833333;0,001983333;0,001775;0,001616667;0,001683333;0,002041667;0,002775;0,001391667;0,002283333
Луцьк;5082530;Сульфати;0,01;0,01;0,01;0,005;0,01;0,01;0,01;0,01;0,01;0;0,005;0,005;0,005;0,01;0,01;0,01;0,005;0,01;0,005;0,01;0,015;0,005;0,01;0,015;0,01;0,005;0,005
Луцьк;5082530;Оксид вуглецю;0;0;0,333333333;0;0;0;0,166666667;0,166666667;0;0;0;0,166666667;0;0;0,166666667;0;0,333333333;0;0;0,166666667;0,333333333;0;0,833333333;0,333333333;0,666666667;0,5;0,166666667
Луцьк;5082530;Дiоксид азоту;0,05095;0,048566667;0,0633;0,059641667;0,059341667;0,059333333;0,042925;0,045858333;0,059083333;0,053508333;0,058083333;0,075283333;0,068975;0,06075;0,083783333;0,045666667;0,090025;0,079791667;0,097375;0,064816667;0,0631;0,058641667;0,069708333;0,094825;0,095241667;0,123441667;0,1094
Луцьк;5082530;Оксид азоту;0,03005;0,028675;0,04565;0,019375;0,026025;0,017625;0,02155;0,0253;0,025525;0,027275;0,035175;0,065625;0,052475;0,033675;0,038875;0,0363;0,025475;0,02385;0,0406;0,02885;0,014125;0,0147;0,0173;0,0309;0,036975;0,05105;0,03705
Луцьк;5082530;Фенол;0,007183333;0,007616667;0,008183333;0,005583333;0,005858333;0,007991667;0,006891667;0,007058333;0,006566667;0,00565;0,00605;0,007316667;0,007625;0,005825;0,004725;0,005525;0,005966667;0,005758333;0,007066667;0,007125;0,00735;0,004958333;0,008125;0,007533333;0,008275;0,007341667;0,00735
Луцьк;5082530;Формальдегiд;0,0122625;0,0131;0,0083875;0,006;0,009475;0,0057375;0,00395;0,005675;0,0085375;0,00455;0,00525;0,006125;0,0068;0,00755;0,008425;0,0069625;0,0086;0,007075;0,0070125;0,0062125;0,0068875;0,004525;0,0080625;0,009075;0,0090875;0,006025;0,007275
Ужгород;4862230;Завислі речовини;0,15;0,12;0,095;0,1225;0,145;0,16;0,155;0,1425;0,1525;0,185;0,15;0,1725;0,16;0,16;0,2125;0,2225;0,185;0,185;0,16;0,155;0,15;0,1475;0,1575;0,1875;0,2225;0,2;0,18
Ужгород;4862230;Дiоксид сiрки;0,018;0,01775;0,016625;0,016625;0,01775;0,0155;0,01525;0,0125;0,01325;0,01675;0,01625;0,014;0,013125;0,016285714;0,014625;0,017;0,017;0,01275;0,0155;0,015875;0,01475;0,013125;0,016375;0,0135;0,012625;0,01325;0,012625
Ужгород;4862230;Сульфати;0,0125;0,009;0,0115;0,0065;0,006;0,021;0,03;0,0175;0,017;0,015;0,0215;0,029;0,0165;0,018;0,0145;0,0105;0,013;0,0095;0,009;0,0095;0,007;0,0065;0,0065;0,011;0,0105;0,005;0,0065
