city;coordinateNumber;nameImpurity;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;;;
Луцьк;5082530;Сульфати;0;null;0,01;0,01;0,01;0,01;0,01;0;null;0,005;0,01;0,005;0,01;0,01;0;null;0,015;0,01;0,01;0,005;0,015;0,005;null;0,015;0,01;0,01;0,01;0,005;;;
Луцьк;5082530;Оксид вуглецю;0;null;0,166666667;0;0,5;0,833333333;0,666666667;0,333333333;null;0,166666667;0,166666667;0,166666667;0,166666667;0,833333333;0,5;null;1,333333333;0,666666667;0,333333333;1;1;0,333333333;null;1;0,833333333;0,166666667;0,333333333;1;;;
Луцьк;5082530;Дiоксид азоту;0,041691667;null;0,04155;0,077875;0,091275;0,071183333;0,06755;0,044583333;null;0,03785;0,063175;0,063608333;0,048033333;0,051875;0,043016667;null;0,053041667;0,054308333;0,063733333;0,053991667;0,048075;0,056666667;null;0,078841667;0,062583333;0,084816667;0,060441667;0,081616667;;;
Луцьк;5082530;Оксид азоту;0,01155;null;0,020725;0,049775;0,0448;0,0375;0,036125;0,02975;null;0,018375;0,041875;0,030425;0,022225;0,0281;0,016125;null;0,0287;0,019775;0,024625;0,027575;0,02075;0,0242;null;0,0494;0,051625;0,0422;0,0273;0,0643;;;
Луцьк;5082530;Фенол;0,004916667;null;0,006691667;0,004925;0,007116667;0,0057;0,00535;0,005275;null;0,00595;0,0064;0,006975;0,006725;0,0065;0,005;null;0,007383333;0,007533333;0,006733333;0,008158333;0,006625;0,005791667;null;0,00745;0,00825;0,007916667;0,006941667;0,007166667;;;
Луцьк;5082530;Формальдегiд;0,0043875;null;0,0024;0,00335;0,004125;0,0039875;0,00375;0,003325;null;0,0046625;0,00345;0,0037;0,006075;0,00595;0,003075;null;0,0027125;0,0047;0,0049875;0,00605;0,005375;0,0033625;null;0,0038125;0,0045625;0,004475;0,003375;0,0025875;;;
Ужгород;4862230;Завислі речовини;0,15;null;0,175;0,285;0,31;0,253333333;0,22;0,2275;null;0,235;0,255;0,2675;0,2875;0,335;0,2975;null;0,2825;0,29;0,2975;0,27;0,275;0,3225;null;0,3925;0,5375;0,62;0,48;0,2825;;;
Ужгород;4862230;Дiоксид сiрки;0,011;null;0,0145;0,01475;0,0175;0,0185;0,015;0,014125;null;0,01425;0,014125;0,015;0,015125;0,016;0,017625;null;0,0155;0,01625;0,016125;0,012125;0,017375;0,016125;null;0,017125;0,01525;0,014875;0,015375;0,012875;;;
Ужгород;4862230;Сульфати;0,0065;null;0,006;0,0095;0,006;0,007;0,0085;0,0055;null;0,007;0,0095;0,009;0,0125;0,01;0,0075;null;0,009;0,013;0,008;0,0105;0,015;0,017;null;0,01;0,012;0,0135;0,0115;0,0135;;;
Ужгород;4862230;Оксид вуглецю;1,3;null;1;1,7;1,19;1,175;1,4575;1,115;null;1,38;1,6375;1,22;1,6175;1,2925;1,07;null;0,96;0,7975;0,9375;1,235;1,08;1,1425;null;1,035;1,4975;1,5425;1,84;0,895;;;
Ужгород;4862230;Дiоксид азоту;0,12575;null;0,1045;0,126;0,12625;0,138;0,104125;0,10775;null;0,081;0,088;0,100125;0,113125;0,166875;0,22575;null;0,150125;0,095;0,0745;0,08975;0,106875;0,1665;null;0,103625;0,0915;0,10475;0,11625;0,076375;;;
Ужгород;4862230;Оксид азоту;null;null;null;null;0,06475;0,0865;0,058;0,05675;null;0,066;0,03775;0,04475;0,06075;0,09975;0,14525;null;0,09625;0,04225;0,03625;0,0355;0,049;0,1495;null;0,04825;0,04725;0,04625;0,0805;0,03175;;;
Ужгород;4862230;Формальдегiд;0,0055;null;0,00675;0,00775;0,007375;0,007875;0,00925;0,00875;null;0,0085;0,007375;0,008;0,0075;0,0085;0,009875;null;0,0085;0,0075;0,00875;0,00675;0,0085;0,008125;null;0,008875;0,0085;0,007625;0,008375;0,006;;;
Запоріжжя;4793510;Завислі речовини;0,08;null;0,06;0,03;0,05;0,08;0,09;0,1;null;0,11;0,12;0,12;0,12;0,07;0,11;null;0,11;0,15;0,13;0,09;0,13;0,15;null;0,1;0,11;0,14;0,11;0,12;;;
Запоріжжя;4793510;Дiоксид сiрки;0,008671429;null;0,006346154;0,006778571;0,007035714;0,0068;0,008857143;0,008171429;null;0,009592308;0,009335714;0,007278571;0,006935714;0,006621429;0,007228571;null;0,006892308;0,007835714;0,008385714;0,007721429;0,007228571;0,005778571;null;0,005730769;0,006864286;0,006285714;0,0059;0,006464286;;;
