city;coordinateNumber;nameImpurity;1February;2February;3February;5February;6February;7February;8February;9February;10February;11February;12February;13February;14February;15February;16February;17February;19February;20February;21February;22February;23February;24February;26February;27February;28February;29February
Луцьк;5082530;Сульфати;0,01;0,01;0;0,005;0;0,005;0,01;0;0;null;0,01;0,01;0,01;0,01;0,02;0,005;0,01;0,005;0,015;0,01;0,005;0;0,01;0,01;0,01;0,005
Луцьк;5082530;Оксид вуглецю;0,166666667;0,166666667;0;0;0,166666667;0,166666667;0;0,166666667;0;null;0;0;0,166666667;0,666666667;0,333333333;0;0,666666667;0,333333333;0,666666667;0;0;0;0,333333333;0,5;0,5;0,666666667
Луцьк;5082530;Дiоксид азоту;0,119091667;0,141041667;0,109425;0,131875;0,121158333;0,108341667;0,129375;0,131208333;0,126208333;null;0,179366667;0,113716667;0,095141667;0,11345;0,120583333;0,076108333;0,129133333;0,129925;0,179666667;0,13525;0,141916667;0,109216667;0,14695;0,1045;0,105883333;0,102108333
Луцьк;5082530;Оксид азоту;0,084475;0,054925;0,040425;0,055525;0,060225;0,044075;0,0765;0,094725;0,0923;null;0,0843;0,03885;0,053075;0,065625;0,05385;0,05735;0,05015;0,050225;0,066525;0,044875;0,040225;0,052475;0,062125;0,041125;0,039225;0,045325
Луцьк;5082530;Фенол;0,007166667;0,007058333;0,005383333;0,007041667;0,005983333;0,007016667;0,006791667;0,005725;0,004783333;null;0,007083333;0,006575;0,006341667;0,006766667;0,007141667;0,005416667;0,007841667;0,006666667;0,0079;0,007258333;0,006825;0,005075;0,006325;0,007891667;0,007108333;0,007983333
Луцьк;5082530;Формальдегiд;0,0036;0,0031375;0,002625;0,00345;0,00485;0,0047375;0,004775;0,0064875;0,0055375;null;0,010725;0,0082375;0,0054875;0,0067875;0,0076125;0,0050375;0,0071625;0,008125;0,007225;0,007225;0,0083625;0,0069375;0,0091;0,010025;0,00975;0,00755
Ужгород;4862230;Завислі речовини;0,1775;0,135;0,1675;0,16;0,1425;0,13;0,1075;0,1025;0,0925;null;0,0975;0,1075;0,1025;0,1125;0,1175;0,1375;0,135;0,16;0,1225;0,1275;0,1175;0,085;0,085;0,2575;0,1175;0,15
Ужгород;4862230;Дiоксид сiрки;0,01875;0,01825;0,015375;0,01625;0,019;0,016;0,01325;0,012375;0,014125;null;0,011125;0,011;0,014125;0,013125;0,0155;0,015125;0,017;0,018;0,015875;0,01425;0,012375;0,015125;0,0145;0,01475;0,01275;0,0165
Ужгород;4862230;Сульфати;0,0045;0,008;0,006;0,0055;0,0065;0,0035;0,006;0,0065;0,007;null;0,0065;0,0045;0,009;0,009;0,009;0,0075;0,004;0,007;0,0065;0,0045;0,0065;0,0045;0,005;0,008;0,006;0,0075
Ужгород;4862230;Оксид вуглецю;1,125;0,8925;0,8075;1,21;1,2475;0,6925;0,735;0,855;0,69;null;0,735;0,7225;0,69;0,9825;1,3575;1,2925;1;1,7025;1,0425;0,8425;0,715;0,825;0,975;2,465;1,3575;1,5775
Ужгород;4862230;Дiоксид азоту;0,0825;0,06525;0,07875;0,07175;0,07075;0,05275;0,057125;0,041;0,06675;null;0,05325;0,049;0,04525;0,05025;0,059875;0,083125;0,07425;0,06625;0,04925;0,04475;0,044125;0,05;0,042875;0,059375;0,04625;0,054
Ужгород;4862230;Оксид азоту;0,029;0,02975;0,0455;0,04225;0,04175;0,028;0,03575;0,02375;0,05075;null;0,03575;0,025;0,02825;0,0315;0,0295;0,03475;0,04;0,042;0,02775;0,02625;0,02825;0,02925;0,02525;0,03425;0,0215;0,03025
Ужгород;4862230;Формальдегiд;0,00975;0,007875;0,00725;0,00575;0,006875;0,0075;0,004875;0,005875;0,005875;null;0,00575;0,00825;0,007;0,007875;0,007625;0,008;0,00875;0,00775;0,006125;0,0075;0,007625;0,009;0,008625;0,008375;0,005375;0,006125
Запоріжжя;4793510;Завислі речовини;0,1;0,07;0,07;0,091;0,11;0,13;0,13;0,11;0,1;null;0,1;0,1;0,14;0,18;0,24;0,14;0,16;0,1;0,12;0,12;0,1;0,12;0,17;0,21;0,21;0,14
Запоріжжя;4793510;Дiоксид сiрки;0,005757143;0,007892857;0,0074;0,0066;0,0072;0,006557143;0,00775;0,007607143;0,0066;null;0,006023077;0,007321429;0,007885714;0,006928571;0,00695;0,006792857;0,0074;0,006357143;0,00635;0,00785;0,007328571;0,006228571;0,007469231;0,008007143;0,006435714;0,005992857
Запоріжжя;4793510;Сульфати;0,01;0,01;0,01;0,01;0,01;0,01;0,005;0,015;0,015;null;0,015;0,015;0,01;0,02;0,02;0,01;0,015;0,015;0,01;0,01;0,015;0,01;0,02;0,015;0,015;0,02
Запоріжжя;4793510;Оксид вуглецю;0,29;0,22;0,14;0,2;0,18;0,17;0,22;0,3;0,21;null;0,23;0,3;0,4;0,2;0,2;0,15;0,13;0,21;0,16;0,17;0,18;0,12;0,25;0,26;0,26;0,35
Запоріжжя;4793510;Дiоксид азоту;0,061342857;0,048535714;0,063107143;0,0607;0,052614286;0,064542857;0,073857143;0,075435714;0,06505;null;0,069007692;0,088714286;0,064585714;0,083121429;0,07865;0,064771429;0,050623077;0,057607143;0,056485714;0,0796;0,070735714;0,056621429;0,074923077;0,0943;0,077628571;0,081528571
Запоріжжя;4793510;Оксид азоту;0,036966667;0,039166667;0,038933333;0,031233333;0,041733333;0,047533333;0,033433333;0,0482;0,0529;null;0,0517;0,049166667;0,044766667;0,058966667;0,064766667;0,064333333;0,051233333;0,053466667;0,045166667;0,054366667;0,047933333;0,052633333;0,050233333;0,0676;0,049966667;0,058766667
