city;nameImpurity;averageMonthlyConcentration;maximumAllowableAverageDailyConcentrations;maximumSingleConcentration;maximumAllowableConcentrationsAreMaximumSingle;airPollutionIndex;;;;;;;
Кременчук;null;null;null;null;null;4,41;;;;;;;
Кривий Ріг;Завислі речовини;0,26;1,7;0,80;1,6;null;;;;;;;
Кривий Ріг;Дiоксид сiрки;0,026;0,5;0,064;0,1;null;;;;;;;
Кривий Ріг;Оксид вуглецю;1,2;0,4;3,0;0,6;null;;;;;;;
Кривий Ріг;Дiоксид азоту;0,03;0,7;0,23;1,2;null;;;;;;;
Кривий Ріг;Оксид азоту;0,02;0,4;0,15;0,4;null;;;;;;;
Кривий Ріг;Сiрководень;0,001;null;0,003;0,4;null;;;;;;;
Кривий Ріг;Фенол;0,002;0,6;0,008;0,8;null;;;;;;;
Кривий Ріг;Амiак;0,01;0,2;0,02;0,1;null;;;;;;;
Кривий Ріг;Формальдегiд;0,011;3,8;0,034;1,0;null;;;;;;;
Кривий Ріг;null;null;null;null;null;9,1;;;;;;;
Кропивницький;Завислі речовини;0,19;1,3;0,70;1,4;null;;;;;;;
Кропивницький;Дiоксид сiрки;0,019;0,4;0,074;0,1;null;;;;;;;
Кропивницький;Сульфати;0,01;null;0,02;null;null;;;;;;;
Кропивницький;Оксид вуглецю;2,6;0,9;8,0;1,6;null;;;;;;;
Кропивницький;Дiоксид азоту;0,03;0,7;0,10;0,5;null;;;;;;;
Кропивницький;Оксид азоту;0,02;0,3;0,05;0,1;null;;;;;;;
Кропивницький;Сажа;0,03;0,6;0,10;0,7;null;;;;;;;
Кропивницький;Формальдегiд;0,004;1,4;0,013;0,4;null;;;;;;;
Кропивницький;null;null;null;null;null;5,01;;;;;;;
Луцьк;Завислі речовини;0,07;0,5;0,40;0,8;null;;;;;;;
Луцьк;Дiоксид сiрки;0,002;0,0;0,006;0,0;null;;;;;;;
Луцьк;Сульфати;0,01;null;0,02;null;null;;;;;;;
Луцьк;Оксид вуглецю;0,5;0,2;2,0;0,4;null;;;;;;;
Луцьк;Дiоксид азоту;0,08;1,9;0,16;0,8;null;;;;;;;
Луцьк;Оксид азоту;0,03;0,6;0,09;0,2;null;;;;;;;
Луцьк;Фенол;0,006;2,0;0,013;1,3;null;;;;;;;
Луцьк;Формальдегiд;0,004;1,2;0,011;0,3;null;;;;;;;
Луцьк;null;null;null;null;null;6,67;;;;;;;
Львів;Завислі речовини;0,14;0,9;0,20;0,4;null;;;;;;;
Львів;Дiоксид сiрки;0,004;0,1;0,032;0,1;null;;;;;;;
Львів;Оксид вуглецю;1,8;0,6;4,5;0,9;null;;;;;;;
Львів;Дiоксид азоту;0,04;1,1;0,14;0,7;null;;;;;;;
Львів;Оксид азоту;0,03;0,5;0,07;0,2;null;;;;;;;
Львів;Фтористий водень;0,002;0,5;0,010;0,5;null;;;;;;;
Львів;Формальдегiд;0,005;1,7;0,022;0,6;null;;;;;;;
Львів;null;null;null;null;null;5,08;;;;;;;
Миколаїв;Завислі речовини;0,08;0,5;0,20;0,4;null;;;;;;;
Миколаїв;Дiоксид сiрки;0,006;0,1;0,015;0,0;null;;;;;;;
Миколаїв;Оксид вуглецю;1,0;0,3;5,0;1,0;null;;;;;;;
Миколаїв;Дiоксид азоту;0,03;0,7;0,08;0,4;null;;;;;;;
Миколаїв;Оксид азоту;0,02;0,3;0,05;0,1;null;;;;;;;
Миколаїв;Фтористий водень;0,002;0,4;0,008;0,4;null;;;;;;;
Миколаїв;Формальдегiд;0,007;2,5;0,025;0,7;null;;;;;;;
Миколаїв;null;null;null;null;null;5,12;;;;;;;
Обухів;Завислі речовини;0,07;0,5;0,14;0,3;null;;;;;;;
Обухів;Дiоксид сiрки;0,040;0,8;0,066;0,1;null;;;;;;;
Обухів;Оксид вуглецю;0,9;0,3;1,2;0,2;null;;;;;;;
Обухів;Дiоксид азоту;0,06;1,5;0,11;0,6;null;;;;;;;
Обухів;null;null;null;null;null;3,11;;;;;;;
Одеса;Завислі речовини;0,20;1,3;0,54;1,1;null;;;;;;;
Одеса;Дiоксид сiрки;0,033;0,7;0,090;0,2;null;;;;;;;
Одеса;Сульфати;0,02;null;0,03;null;null;;;;;;;
Одеса;Оксид вуглецю;1,4;0,5;4,8;1,0;null;;;;;;;
Одеса;Дiоксид азоту;0,05;1,3;0,13;0,7;null;;;;;;;
Одеса;Оксид азоту;0,03;0,6;0,07;0,2;null;;;;;;;
Одеса;Сiрководень;0,001;null;0,003;0,4;null;;;;;;;
Одеса;Фенол;0,003;1,0;0,007;0,7;null;;;;;;;
Одеса;Сажа;0,05;1,0;0,14;0,9;null;;;;;;;
Одеса;Фтористий водень;0,004;0,8;0,014;0,7;null;;;;;;;
Одеса;Формальдегiд;0,008;2,6;0,024;0,7;null;;;;;;;
Одеса;null;null;null;null;null;8,08;;;;;;;
Олександрія;Завислі речовини;0,20;1,4;0,50;1,0;null;;;;;;;
Олександрія;Дiоксид сiрки;0,018;0,4;0,042;0,1;null;;;;;;;
Олександрія;Сульфати;0,01;null;0,02;null;null;;;;;;;
Олександрія;Дiоксид азоту;0,03;0,7;0,10;0,5;null;;;;;;;
Олександрія;Сажа;0,04;0,9;0,10;0,7;null;;;;;;;
Олександрія;null;null;null;null;null;3,36;;;;;;;
Полтава;Завислі речовини;0,17;1,2;0,50;1,0;null;;;;;;;
Полтава;Дiоксид сiрки;0,003;0,1;0,011;0,0;null;;;;;;;
Полтава;Сульфати;0,01;null;0,02;null;null;;;;;;;
Полтава;Оксид вуглецю;1,4;0,5;6,0;1,2;null;;;;;;;
Полтава;Дiоксид азоту;0,02;0,6;0,08;0,4;null;;;;;;;
Полтава;Оксид азоту;0,01;0,2;0,05;0,1;null;;;;;;;
Полтава;Фтористий водень;0,001;0,3;0,008;0,4;null;;;;;;;
Полтава;Хлористий водень;0,02;0,1;0,06;0,3;null;;;;;;;
Полтава;Амiак;0,01;0,2;0,03;0,2;null;;;;;;;
Полтава;Формальдегiд;0,002;0,8;0,016;0,5;null;;;;;;;
Полтава;null;null;null;null;null;3,23;;;;;;;
Рівне;Завислі речовини;0,09;0,6;0,38;0,8;null;;;;;;;
Рівне;Дiоксид сiрки;0,000;0,0;0,011;0,0;null;;;;;;;
Рівне;Оксид вуглецю;1,1;0,4;6,0;1,2;null;;;;;;;
Рівне;Дiоксид азоту;0,02;0,4;0,08;0,4;null;;;;;;;
Рівне;Оксид азоту;0,01;0,2;0,06;0,1;null;;;;;;;
Рівне;Сiрководень;0,001;null;0,007;0,9;null;;;;;;;
Рівне;Фенол;0,001;0,3;0,009;0,9;null;;;;;;;
Рівне;Фтористий водень;0,004;0,8;0,020;1,0;null;;;;;;;
Рівне;Хлористий водень;0,06;0,3;0,22;1,1;null;;;;;;;
Рівне;Амiак;0,00;0,0;0,01;0,1;null;;;;;;;
Рівне;Формальдегiд;0,004;1,4;0,024;0,7;null;;;;;;;
Рівне;null;null;null;null;null;3,69;;;;;;;
Світловодськ;Завислі речовини;0,06;0,4;0,10;0,2;null;;;;;;;
Світловодськ;Дiоксид сiрки;0,020;0,4;0,077;0,2;null;;;;;;;
Світловодськ;Сульфати;0,01;null;0,01;null;null;;;;;;;
Світловодськ;Оксид вуглецю;1,1;0,4;2,0;0,4;null;;;;;;;
Світловодськ;Дiоксид азоту;0,04;1,1;0,10;0,5;null;;;;;;;
Світловодськ;Оксид азоту;0,03;0,5;0,08;0,2;null;;;;;;;
Світловодськ;Формальдегiд;0,002;0,7;0,014;0,4;null;;;;;;;
Світловодськ;null;null;null;null;null;3,11;;;;;;;
Суми;Завислі речовини;0,36;2,4;0,90;1,8;null;;;;;;;
Суми;Дiоксид сiрки;0,070;1,4;0,099;0,2;null;;;;;;;
Суми;Сульфати;0,02;null;0,04;null;null;;;;;;;
Суми;Оксид вуглецю;1,8;0,6;5,0;1,0;null;;;;;;;
Суми;Дiоксид азоту;0,10;2,4;0,23;1,2;null;;;;;;;
Суми;Оксид азоту;0,04;0,7;0,09;0,2;null;;;;;;;
Суми;Амiак;0,01;0,4;0,03;0,2;null;;;;;;;
Суми;Формальдегiд;0,004;1,3;0,012;0,3;null;;;;;;;
Суми;null;null;null;null;null;8,32;;;;;;;
Тернопіль;Завислі речовини;0,12;0,8;0,50;1,0;null;;;;;;;
Тернопіль;Дiоксид сiрки;0,004;0,1;0,011;0,0;null;;;;;;;
Тернопіль;Оксид вуглецю;3,4;1,1;5,6;1,1;null;;;;;;;
Тернопіль;Дiоксид азоту;0,04;1,1;0,09;0,4;null;;;;;;;
Тернопіль;Оксид азоту;0,02;0,4;0,05;0,1;null;;;;;;;
Тернопіль;Формальдегiд;0,003;0,9;0,008;0,2;null;;;;;;;
Тернопіль;null;null;null;null;null;4,31;;;;;;;
Ужгород;Завислі речовини;0,20;1,4;0,44;0,9;null;;;;;;;
Ужгород;Дiоксид сiрки;0,014;0,3;0,023;0,0;null;;;;;;;
Ужгород;Сульфати;0,01;null;0,04;null;null;;;;;;;
Ужгород;Оксид вуглецю;1,1;0,4;3,5;0,7;null;;;;;;;
Ужгород;Дiоксид азоту;0,11;2,8;0,64;3,2;null;;;;;;;
Ужгород;Оксид азоту;0,06;1,0;0,35;0,9;null;;;;;;;
Ужгород;Формальдегiд;0,009;2,9;0,028;0,8;null;;;;;;;
Ужгород;null;null;null;null;null;9,51;;;;;;;
Українка;Завислі речовини;0,05;0,3;0,07;0,1;null;;;;;;;
Українка;Дiоксид сiрки;0,045;0,9;0,087;0,2;null;;;;;;;
Українка;Оксид вуглецю;1,3;0,4;2,0;0,4;null;;;;;;;
Українка;Дiоксид азоту;0,08;2,0;0,15;0,7;null;;;;;;;
Українка;null;null;null;null;null;3,69;;;;;;;
Харків;Завислі речовини;0,05;0,4;0,31;0,6;null;;;;;;;
Харків;Дiоксид сiрки;0,018;0,4;0,044;0,1;null;;;;;;;
Харків;Сульфати;0,00;null;0,01;null;null;;;;;;;
Харків;Оксид вуглецю;1,3;0,4;3,2;0,6;null;;;;;;;
Харків;Дiоксид азоту;0,03;0,7;0,07;0,4;null;;;;;;;
Харків;Оксид азоту;0,02;0,4;0,04;0,1;null;;;;;;;
Харків;Сiрководень;0,001;null;0,002;0,3;null;;;;;;;
Харків;Фенол;0,002;0,7;0,004;0,4;null;;;;;;;
Харків;Сажа;0,01;0,2;0,03;0,2;null;;;;;;;
Харків;Амiак;0,00;0,1;0,01;0,1;null;;;;;;;
Харків;Формальдегiд;0,001;0,5;0,007;0,2;null;;;;;;;
Харків;null;null;null;null;null;2,57;;;;;;;
Херсон;Завислі речовини;0,03;0,2;0,20;0,4;null;;;;;;;
Херсон;Дiоксид сiрки;0,001;0,0;0,014;0,0;null;;;;;;;
Херсон;Сульфати;0,00;null;0,01;null;null;;;;;;;
Херсон;Оксид вуглецю;0,3;0,1;1,1;0,2;null;;;;;;;
Херсон;Дiоксид азоту;0,20;5,0;0,31;1,6;null;;;;;;;
Херсон;Оксид азоту;0,12;2,0;0,24;0,6;null;;;;;;;
Херсон;Фенол;0,003;1,1;0,023;2,3;null;;;;;;;
Херсон;Формальдегiд;0,001;0,3;0,026;0,7;null;;;;;;;
Херсон;null;null;null;null;null;8,58;;;;;;;
Хмельницький;Завислі речовини;0,12;0,8;0,63;1,3;null;;;;;;;
Хмельницький;Дiоксид сiрки;0,017;0,3;0,024;0,0;null;;;;;;;
Хмельницький;Сульфати;0,01;null;0,01;null;null;;;;;;;
Хмельницький;Оксид вуглецю;1,9;0,6;3,3;0,7;null;;;;;;;
Хмельницький;Дiоксид азоту;0,03;0,8;0,13;0,6;null;;;;;;;
Хмельницький;Оксид азоту;0,03;0,4;0,11;0,3;null;;;;;;;
Хмельницький;Фенол;0,001;0,4;0,006;0,6;null;;;;;;;
Хмельницький;Хлористий водень;0,05;0,2;0,14;0,7;null;;;;;;;
Хмельницький;Амiак;0,01;0,2;0,04;0,2;null;;;;;;;
Хмельницький;Формальдегiд;0,001;0,3;0,002;0,1;null;;;;;;;
Хмельницький;null;null;null;null;null;3,11;;;;;;;
Черкаси;Завислі речовини;0,12;0,8;0,30;0,6;null;;;;;;;
Черкаси;Дiоксид сiрки;0,016;0,3;0,088;0,2;null;;;;;;;
Черкаси;Сульфати;0,01;null;0,02;null;null;;;;;;;
Черкаси;Оксид вуглецю;1,3;0,4;3,0;0,6;null;;;;;;;
Черкаси;Дiоксид азоту;0,03;0,8;0,13;0,7;null;;;;;;;
Черкаси;Оксид азоту;0,02;0,4;0,03;0,1;null;;;;;;;
Черкаси;Сiрководень;0,002;null;0,003;0,4;null;;;;;;;
Черкаси;Амiак;0,04;1,1;0,12;0,6;null;;;;;;;
Черкаси;Формальдегiд;0,007;2,4;0,033;0,9;null;;;;;;;
Черкаси;null;null;null;null;null;6,31;;;;;;;
Чернівці;Завислі речовини;0,03;0,2;0,20;0,4;null;;;;;;;
Чернівці;Дiоксид сiрки;0,014;0,3;0,117;0,2;null;;;;;;;
Чернівці;Оксид вуглецю;0,3;0,1;2,0;0,4;null;;;;;;;
Чернівці;Дiоксид азоту;0,03;0,8;0,16;0,8;null;;;;;;;
Чернівці;Оксид азоту;0,01;0,1;0,15;0,4;null;;;;;;;
Чернівці;Озон;0,060;2,0;0,129;0,8;null;;;;;;;
Чернівці;Фенол;0,003;0,9;0,011;1,1;null;;;;;;;
Чернівці;Фтористий водень;0,001;0,1;0,005;0,3;null;;;;;;;
Чернівці;Хлористий водень;0,06;0,3;0,22;1,1;null;;;;;;;
Чернівці;Формальдегiд;0,003;0,9;0,020;0,6;null;;;;;;;
Чернівці;null;null;null;null;null;6,09;;;;;;;
Чернігів;Завислі речовини;0,11;0,7;0,16;0,3;null;;;;;;;
Чернігів;Дiоксид сiрки;0,040;0,8;0,065;0,1;null;;;;;;;
Чернігів;Оксид вуглецю;0,5;0,2;3,1;0,6;null;;;;;;;
Чернігів;Дiоксид азоту;0,10;2,4;0,19;0,9;null;;;;;;;
Чернігів;null;null;null;null;null;4,11;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
