city;coordinateNumber;nameImpurity;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
Луцьк;5082530;Дiоксид сiрки;0,001891667;0,001725;0,00165;null;0,002558333;0,002;0,001941667;0,001666667;0,001475;0,001625;null;0,001708333;0,002041667;0,001866667;0,002391667;0,002591667;0,0014;null;0,002158333;0,00185;0,002983333;0,002816667;0,0019;0,00205;null;0,003091667;0,002708333;0,002125;0,002141667;0,001725;0,0019
Луцьк;5082530;Сульфати;0,005;0,01;0,005;null;0,01;0,01;0,01;0,005;0,01;0;null;0,005;0,01;0,01;0,01;0,015;0,01;null;0,01;0,005;0,01;0,01;0,005;0;null;0,005;0;0,01;0,005;0,005;0
Луцьк;5082530;Оксид вуглецю;0;0,333333333;0;null;0;0;0;0;0;0;null;0;0;0,166666667;0;0;0;null;0,166666667;0;0;0,166666667;0,166666667;0;null;0;0;0;0;0;0
Луцьк;5082530;Дiоксид азоту;0,092266667;0,071758333;0,045783333;null;0,060475;0,060125;0,060175;0,053533333;0,058766667;0,050358333;null;0,066258333;0,049783333;0,055425;0,054675;0,052691667;0,049708333;null;0,079908333;0,117725;0,13315;0,089975;0,058866667;0,049666667;null;0,11395;0,091133333;0,065383333;0,056341667;0,069166667;0,063875
Луцьк;5082530;Оксид азоту;0,0299;0,026225;0,018675;null;0,0278;0,025;0,019775;0,030025;0,0261;0,019075;null;0,020925;0,015275;0,0193;0,01905;0,028925;0,02445;null;0,04735;0,06425;0,068825;0,07035;0,0209;0,024775;null;0,050975;0,034775;0,01425;0,00585;0,017225;0,0175
Луцьк;5082530;Фенол;0,006325;0,005758333;0,004866667;null;0,005941667;0,005283333;0,00715;0,005808333;0,0061;0,004866667;null;0,005983333;0,004416667;0,005466667;0,00485;0,005491667;0,005016667;null;0,0064;0,006191667;0,006725;0,005158333;0,005733333;0,003725;null;0,004283333;0,005;0,005641667;0,006658333;0,005466667;0,005425
Луцьк;5082530;Формальдегiд;0,0055875;0,00525;0,004275;null;0,004525;0,0050375;0,0076875;0,0111125;0,0093875;0,0043875;null;0,0062;0,0067875;0,0061125;0,00495;0,007;0,005725;null;0,006275;0,0071875;0,0061625;0,0044875;0,0053125;0,00505;null;0,00545;0,0077375;0,0061375;0,00745;0,007275;0,0049
Ужгород;4862230;Завислі речовини;0,1175;0,1425;0,1725;null;0,145;0,08;0,0825;0,1225;0,055;0,13;null;0,0675;0,0275;0,115;0,0575;0,06;0,02;null;0,025;0,0525;0,05;0,08;0,045;0,0775;null;0,065;0,095;0,085;0,045;0,055;0,095
Ужгород;4862230;Дiоксид сiрки;0,007625;0,007125;0,00775;null;0,008375;0,006375;0,005625;0,006875;0,005;0,00475;null;0,004625;0,0055;0,005;0,004625;0,00275;0,004375;null;0,006375;0,004625;0,003875;0,005375;0,002625;0,0025;null;0,004375;0,0025;0,0025;0,004375;0,0035;0,0035
Ужгород;4862230;Сульфати;0,002;0,006;0,007;null;0,0025;0,003;0,0025;0,002;0,004;0,0055;null;0,003;0,003;0,008;0,0035;0,003;0,0025;null;0,0005;0,0025;0,003;0,002;0,002;0,001;null;0,002;0,0025;0,003;0,001;0,003;0,0045
