city;coordinateNumber;nameImpurity;1December;2December;3December;4December;5December;6December;7December;8December;9December;10December;11December;12December;13December;14December;15December;16December;17December;18December;20December;21December;22December;23December;24December;25December;27December;28December;29December;30December;31December
Ужгород;4862230;Завислі речовини;0,195;0,195;0,23;0,2625;;0,225;0,305;0,3;0,285;0,2375;0,1825;;0,185;0,2375;0,25;0,305;0,3125;0,23;0,2625;0,265;0,22;0,175;0,2025;0,2;0,166666667;0,21;0,095;0,135;0,095
Ужгород;4862230;Дiоксид сiрки;0,01575;0,014875;0,013875;0,014375;;0,01275;0,0175;0,018375;0,017875;0,015625;0,013875;;0,015;0,014;0,01575;0,015;0,0175;0,012875;0,01425;0,0155;0,016875;0,015;0,017125;0,017125;0,014571429;0,015;0,0145;0,0145;0,01275
Ужгород;4862230;Сульфати;0,0075;0,008;0,0085;0,0055;;0,0035;0,006;0,0085;0,0085;0,008;0,008;;0,0125;0,0095;0,008;0,0085;0,01;0,0085;0,0095;0,015;0,013;0,01;0,007;0,0065;0,008;0,0105;0,0185;0,0175;0,012
Ужгород;4862230;Оксид вуглецю;0,8475;1,0675;1,1125;1,275;;0,835;1,755;1,57;1,075;1,31;1,0875;;0,89;1,545;1,9125;2,02;1,225;1,325;1,0675;1,2125;1,4125;1,135;1,145;0,905;0,763333333;0,85;0,9;1,5;1,4
Ужгород;4862230;Дiоксид азоту;0,060125;0,066;0,066375;0,071375;;0,059875;0,127625;0,12825;0,138125;0,099;0,069;;0,06275;0,078625;0,104625;0,102125;0,082625;0,08325;0,11475;0,106;0,071125;0,079125;0,119625;0,187125;0,113714286;0,063;0,05125;0,0485;0,0905
Ужгород;4862230;Оксид азоту;0,03975;0,03825;0,05425;0,04675;;0,046;0,054;0,05925;0,0785;0,04475;0,04025;;0,0315;0,05575;0,068;0,06575;0,03625;0,0515;0,10425;0,07225;0,04125;0,06225;0,058;0,13;0,062333333;;;;
Ужгород;4862230;Формальдегiд;0,006375;0,007;0,007625;0,006875;;0,00625;0,009875;0,0095;0,008;0,00725;0,00725;;0,007375;0,007875;0,008125;0,0095;0,00725;0,007625;0,007875;0,009875;0,00825;0,007;0,00825;0,00825;0,008142857;0,00775;0,00725;0,007;0,006
Запоріжжя;4793510;Завислі речовини;0,11;0,09;0,08;0,09;;0,1;0,07;0,05;0,07;0,07;0,09;;0,1;0,08;0,1;0,09;0,1;0,07;0,14;0,1;0,12;0,12;0,11;0,09;0,09;0,09;0,08;0,11;0,12
Запоріжжя;4793510;Дiоксид сiрки;0,007157143;0,007535714;0,008264286;0,006342857;;0,008315385;0,006585714;0,005521429;0,006528571;0,005407143;0,005485714;;0,005538462;0,004871429;0,005357143;0,00555;0,00775;0,006342857;0,008307692;0,007857143;0,008078571;0,008264286;0,006964286;0,005407143;0,005884615;0,00665;0,007507143;0,007914286;0,008978571
Запоріжжя;4793510;Сульфати;0,055;0,01;0,01;0,01;;0,015;0,01;0,01;0,01;0,015;0,01;;0,01;0,01;0,015;0,015;0,01;0,01;0,015;0,01;0,015;0,01;0,015;0,01;0,01;0,01;0,01;0,01;0,02
Запоріжжя;4793510;Оксид вуглецю;0,44;0,41;0,39;0,26;;0,41;0,43;0,46;0,58;0,42;0,34;;0,47;0,49;0,47;0,48;0,39;0,36;0,48;0,5;0,61;0,44;0,39;0,5;0,48;0,43;0,43;0,5;0,45
Запоріжжя;4793510;Дiоксид азоту;0,056385714;0,061035714;0,078378571;0,059278571;;0,079269231;0,055;0,059528571;0,057828571;0,064035714;0,06335;;0,064469231;0,062092857;0,067685714;0,065228571;0,062178571;0,058971429;0,066184615;0,074864286;0,061435714;0,061942857;0,073992857;0,058092857;0,065761538;0,050228571;0,072428571;0,063528571;0,071764286
Запоріжжя;4793510;Оксид азоту;0,0389;0,039733333;0,0398;0,032766667;;0,0496;0,0395;0,0356;0,0332;0,033366667;0,0418;;0,040933333;0,0447;0,032233333;0,0342;0,049166667;0,032233333;0,052433333;0,0447;0,044833333;0,0323;0,026033333;0,039033333;0,042933333;0,032666667;0,048066667;0,045833333;0,045966667
Запоріжжя;4793510;Сiрководень;0,002836364;0,003381818;0,003127273;0,002409091;;0,003;0,002881818;0,002854545;0,002827273;0,003336364;0,002609091;;0,003133333;0,003118182;0,002781818;0,003372727;0,002609091;0,003;0,003866667;0,0031;0,002645455;0,002618182;0,003163636;0,002618182;0,003;0,002890909;0,003254545;0,002781818;0,003363636
Запоріжжя;4793510;Фенол;0,0047;0,00554;0,00522;0,00549;;0,005544444;0,0046;0,00549;0,00482;0,00458;0,0052;;0,005388889;0,00496;0,00506;0,00539;0,00488;0,00489;0,0064;0,0052;0,00582;0,00443;0,00462;0,00505;0,004088889;0,00587;0,00517;0,00491;0,00566
Запоріжжя;4793510;Фтористий водень;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;0,0002;0,0003;0,0005;0;0;0;0;0;0;0;0,0003
Запоріжжя;4793510;Хлористий водень;0,036925;0,040114286;0,0441125;0,032475;;0,04435;0,0386625;0,03805;0,03415;0,044375;0,0352;;0,034483333;0,0341;0,034425;0,0306375;0,040225;0,0404875;0,046566667;0,040175;0,047425;0,0381;0,0469625;0,0371875;0,04415;0,0397875;0,0399125;0,042325;0,03375
Запоріжжя;4793510;Формальдегiд;0,00555;0,005325;0,00615;0,005925;;0,006333333;0,0061;0,00585;0,0057;0,006475;0,005925;;0,0059;0,005775;0,005675;0,0058;0,0053;0,005175;0,006833333;0,00545;0,00545;0,0058;0,006025;0,006375;0,002333333;0,005425;0,005275;0,005875;0,005275
Івано-Франківськ;4892470;Завислі речовини;0,15;0,135;0,11;0,14;;0,11;0,11;0,11;0,14;0,11;0,085;;0,15;0,14;0,115;0,1;0,15;0,135;0,145;0,145;0,105;0,15;0,11;0,15;0,145;0,145;0,15;0,11;0,14
Івано-Франківськ;4892470;Дiоксид сiрки;0,002275;0,0023;0,00225;0,00265;;0,0023;0,002;0,001925;0,003075;0,0031;0,0015;;0,002625;0,003375;0,003;0,002925;0,002975;0,00225;0,00225;0,00265;0,00565;0,004925;0,00755;0,0045;0,002675;0,003425;0,0023;0,003375;0,003425
Івано-Франківськ;4892470;Оксид вуглецю;1,85;1,7;1,4;1,75;;1,35;1,35;1,5;1,85;1,55;1,3;;1,9;1,75;1,35;1,25;1,85;1,65;1,75;1,8;1,4;1,9;1,35;1,8;1,8;1,85;1,8;1,4;1,65
Івано-Франківськ;4892470;Дiоксид азоту;0,025625;0,030625;0,0329;0,02895;;0,035975;0,0517;0,048125;0,034475;0,04365;0,0515;;0,035525;0,038675;0,048425;0,045025;0,0378;0,052575;0,056375;0,048225;0,059875;0,055225;0,043625;0,050475;0,045425;0,0438;0,04995;0,039275;0,038625
Івано-Франківськ;4892470;Оксид азоту;0,0178;0,02165;0,02295;0,02125;;0,024125;0,03415;0,031925;0,0243;0,02955;0,0332;;0,0256;0,02645;0,032425;0,032025;0,0255;0,033825;0,0372;0,032975;0,039375;0,036175;0,029825;0,03435;0,0306;0,029625;0,033;0,02605;0,02755
Дніпро;4863510;Завислі речовини;0,15;0,15;0,2;0,175;;0,2125;0,2125;0,225;0,2375;0,2125;0,2125;;0,2875;0,2625;0,275;0,2875;0,2625;0,2;0,25;0,275;0,25;0,2125;0,2125;0,2125;0,3125;0,275;0,25;0,275;0,2125
Дніпро;4863510;Дiоксид сiрки;0,008666667;0,010875;0,009291667;0,011108333;;0,009166667;0,009333333;0,009541667;0,009416667;0,008458333;0,013625;;0,016444444;0,01025;0,011583333;0,013916667;0,014583333;0,017416667;0,013888889;0,008541667;0,010166667;0,012333333;0,008;0,011333333;0,011222222;0,009375;0,009791667;0,009875;0,009375
Дніпро;4863510;Оксид вуглецю;1,833333333;1,916666667;2,166666667;2,416666667;;1,583333333;2,083333333;2,166666667;1,916666667;2,333333333;2;;2;2,083333333;1,916666667;2,083333333;2,083333333;2,5;2,083333333;1,833333333;1,916666667;1,916666667;1,916666667;1,833333333;2,083333333;1,833333333;1,833333333;1,583333333;2,083333333
Дніпро;4863510;Дiоксид азоту;0,050833333;0,044583333;0,05375;0,063333333;;0,061666667;0,056666667;0,05625;0,07375;0,068333333;0,065;;0,071111111;0,065833333;0,05375;0,06;0,057083333;0,06625;0,065555556;0,051666667;0,05625;0,06125;0,06;0,06375;0,072222222;0,06;0,072916667;0,084166667;0,080416667
Дніпро;4863510;Оксид азоту;0,03;0,0175;0,025;0,04;;0,033333333;0,025;0,0275;0,035;0,0375;0,035;;0,03;0,035;0,0275;0,03;0,0325;0,0325;0,04;0,025;0,03;0,03;0,03;0,0375;0,03;0,04;0,03;0,0375;0,0375
Дніпро;4863510;Сiрководень;0,001583333;0,001458333;0,001541667;0,001666667;;0,0005;0,001208333;0,001708333;0,001958333;0,000625;0,00275;;0,003555556;0,001958333;0,002125;0,005625;0,004166667;0,005541667;0,003;0,000625;0,001166667;0,000875;0,000916667;0,000791667;0,000666667;0,001041667;0,001333333;0,002041667;0,002375
Дніпро;4863510;Фенол;0,001;0,001583333;0,001833333;0,001583333;;0,002333333;0,0035;0,0025;0,001916667;0,003;0,001833333;;0,002666667;0,002166667;0,002416667;0,003666667;0,002083333;0,001916667;0,000777778;0,003;0,003166667;0,002666667;0,00225;0,001333333;0,001444444;0,003333333;0,001916667;0,002833333;0,003416667
Дніпро;4863510;Амiак;0,0375;0,03125;0,03625;0,04;;0,035;0,0375;0,04375;0,025;0,0325;0,03625;;0,036666667;0,0375;0,0325;0,0275;0,035;0,03875;0,048333333;0,03;0,03125;0,03125;0,0275;0,0375;0,033333333;0,025;0,0375;0,03375;0,04
Дніпро;4863510;Формальдегiд;0,013166667;0,01125;0,01025;0,00925;;0,009666667;0,0115;0,010833333;0,011666667;0,011583333;0,010083333;;0,010666667;0,011166667;0,010416667;0,011083333;0,011166667;0,012833333;0,011111111;0,009166667;0,00925;0,009583333;0,011333333;0,011166667;0,011222222;0,010666667;0,010583333;0,011;0,012
Кривий Ріг;4793340;Завислі речовини;0,21;0,24;0,3;0,21;;0,18;0,29;0,2;0,19;0,12;0,08;;0,16;0,23;0,2375;0,1625;0,0875;0,1375;0,2;0,175;0,05;0;0,0375;0,075;0,05;0,1375;0,25;0,275;0,3
Кривий Ріг;4793340;Дiоксид сiрки;0,031615385;0,031230769;0,025307692;0,017846154;;0,0251;0,039769231;0,039846154;0,026384615;0,019923077;0,017615385;;0,022;0,018384615;0,0256;0,0212;0,0132;0,0184;0,025625;0,026;0,0157;0,0159;0,0207;0,0167;0,021;0,0245;0,0308;0,0272;0,0344
Кривий Ріг;4793340;Оксид вуглецю;1,4;1,7;1,5;1;;1,4;1,9;1,9;1,6;1,5;1;;1,2;1;1;1,25;1,25;1;1;1,125;1;1,125;1,25;1,5;2,125;1,5;1;1;1,125
Кривий Ріг;4793340;Дiоксид азоту;0,03;0,036923077;0,033846154;0,02;;0,047;0,05;0,059230769;0,053076923;0,028461538;0,021538462;;0,045;0,017692308;0,038;0,034;0,028;0,022;0,0375;0,051;0,018;0,023;0,025;0,04;0,045;0,026;0,034;0,021;0,023
Кривий Ріг;4793340;Оксид азоту;0,016666667;0,023333333;0,02;0,01;;0,03;0,026666667;0,013333333;0,053333333;0,013333333;0,013333333;;0,035;0,013333333;0,02;0,016666667;0,013333333;0,013333333;0,03;0,04;0,01;0,016666667;0,023333333;0,023333333;0,025;0,016666667;0,026666667;0,016666667;0,02
Кривий Ріг;4793340;Сiрководень;0,0012;0,0015;0,0018;0,001;;0,0019;0,0023;0,0016;0,0012;0,0012;0,0007;;0,0012;0,0008;0,00125;0,001;0,001125;0,00075;0,001125;0,001125;0,001;0,001;0,00125;0,001625;0,002;0,001375;0,001375;0,001125;0,001625
Кривий Ріг;4793340;Фенол;0,0022;0,0027;0,00195;0,0014;;0,003133333;0,0039;0,0031;0,00205;0,0024;0,00135;;0,001733333;0,0009;0,0018125;0,0019375;0,0026875;0,002;0,0015;0,00175;0,002;0,002;0,001875;0,002625;0,00375;0,0025;0,002375;0,0026875;0,0030625
Кривий Ріг;4793340;Амiак;0,011;0,0115;0,011;0,0095;;0,012;0,0165;0,014;0,012;0,0105;0,008;;0,011333333;0,008;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,010625;0,010625;0,0175;0,01375;0,01125;0,01;0,009375
Кривий Ріг;4793340;Формальдегiд;0,01265;0,01095;0,011;0,00935;;0,013866667;0,0138;0,01145;0,00975;0,0094;0,0099;;0,009933333;0,00845;0,0098125;0,008625;0,009875;0,009125;0,0135;0,0096875;0,0101875;0,010625;0,0098125;0,011875;0,0135;0,0084375;0,009125;0,009375;0,010625
Кам'янське;4853460;Завислі речовини;0,25135;0,2570875;0,2133375;0,2174375;;0,089925;0,097125;0,1442125;0,1820625;0,189525;0,167525;;0,159225;0,17595;0,1715375;0,1757;0,08225;0,1705625;0,22445;0,2084875;0,137925;0,1825;0,228625;0,20415;0,157925;0,2112;0,2251875;0,2186;0,2297125
Кам'янське;4853460;Дiоксид сiрки;0,007575;0,0052625;0,003375;0,002375;;0,0020875;0,00235;0,0028875;0,002625;0,0040125;0,0053;;0,005675;0,0052625;0,0057;0,004725;0,0052375;0,0054625;0,0053625;0,005875;0,0049375;0,0063875;0,00445;0,004875;0,0050875;0,0043875;0,0035625;0,005425;0,0059125
Кам'янське;4853460;Оксид вуглецю;3,375;3,25;3,375;3;;3,125;3,625;3,375;3,125;3,5;3,125;;2,75;2;2,5;2,375;2,625;2,5;2,75;2,5;2,25;2,5;3,125;3;2,75;2,375;3;3,25;3
Кам'янське;4853460;Дiоксид азоту;0,1261625;0,11986875;0,1056;0,09914375;;0,122466667;0,0761125;0,06865625;0,07648125;0,1040625;0,0983;;0,105625;0,08575;0,0580875;0,06208125;0,07099375;0,0565625;0,093883333;0,07538125;0,07963125;0,07845;0,0867;0,0930875;0,07295;0,07956875;0,078575;0,077675;0,09468125
Кам'янське;4853460;Оксид азоту;0,0577;0,0555;0,0556;0,052;;0,0567;0,034075;0,030825;0,03585;0,053025;0,04465;;0,047766667;0,036125;0,028125;0,0294;0,029225;0,03005;0,0418;0,026925;0,03845;0,036125;0,045575;0,04345;0,0371;0,0401;0,033425;0,0429;0,058975
Кам'янське;4853460;Сiрководень;0,004266667;0,004126667;0,003;0,002246667;;0,002527273;0,001793333;0,002653333;0,00206;0,003186667;0,00326;;0,004063636;0,003973333;0,0028;0,00362;0,003293333;0,003766667;0,003345455;0,003926667;0,0044;0,0045;0,00452;0,003033333;0,004654545;0,00494;0,003753333;0,005166667;0,004566667
Кам'янське;4853460;Фенол;0,0049125;0,00451875;0,0049625;0,0049375;;0,004483333;0,0043;0,0042;0,0036375;0,00428125;0,00359375;;0,004383333;0,0036375;0,003475;0,00334375;0,0033625;0,004125;0,004575;0,0041875;0,00499375;0,00471875;0,0051625;0,00440625;0,004991667;0,0048125;0,00500625;0,00505625;0,00495
Кам'янське;4853460;Амiак;0,0521;0,042875;0,0383;0,025;;0,023475;0,04055;0,0369;0,0174125;0,040275;0,04575;;0,04385;0,0472875;0,03805;0,0312;0,0244;0,0339625;0,0395625;0,0431;0,0365375;0,0468;0,045475;0,040375;0,047375;0,0495625;0,0463125;0,04955;0,0439625
Кам'янське;4853460;Формальдегiд;0,0112875;0,0096;0,0095;0,00865;;0,0070125;0,008425;0,00635;0,0060125;0,00705;0,007275;;0,0074375;0,0075625;0,0083125;0,0075;0,008775;0,00775;0,0077625;0,0071125;0,0083125;0,0080625;0,00785;0,008075;0,00905;0,0079;0,0104;0,011425;0,0102
Кропивницький;4853220;Завислі речовини;0,183333333;0,233333333;0,183333333;0,15;;0,15;0,233333333;0,183333333;0,15;0,2;0,166666667;;0,15;0,15;0,2;0,15;0,166666667;0,216666667;0,25;0,266666667;0,15;0,183333333;0,15;0,2;0,183333333;0,183333333;0,233333333;0,183333333;0,166666667
Кропивницький;4853220;Дiоксид сiрки;0,01575;0,021508333;0,015391667;0,019191667;;0,020955556;0,019025;0,017666667;0,01905;0,02185;0,015991667;;0,019688889;0,018733333;0,0234;0,022283333;0,017016667;0,01745;0,016133333;0,016791667;0,020483333;0,0186;0,015766667;0,019908333;0,016411111;0,024491667;0,015475;0,0194;0,022558333
Кропивницький;4853220;Сульфати;0,005;0,01;0,01;0,005;;0;0,01;0,01;0,005;0,005;0,01;;0,005;0;0,01;0,005;0,005;0;0;0,015;0;0,005;0,005;0,01;0,005;0,005;0,015;0,01;0,005
Кропивницький;4853220;Оксид вуглецю;2;1,833333333;2,166666667;1,666666667;;1,333333333;1,833333333;2;3,166666667;2;2;;2,166666667;1,5;1,666666667;1,5;1,833333333;2;1,833333333;2;2;2;2,5;1,833333333;2,666666667;2,166666667;2,833333333;3,5;2,5
Кропивницький;4853220;Дiоксид азоту;0,025591667;0,025466667;0,029391667;0,028408333;;0,0313;0,030541667;0,028333333;0,034825;0,024391667;0,029258333;;0,0252;0,032125;0,025241667;0,02715;0,028816667;0,033966667;0,027877778;0,02735;0,026316667;0,029816667;0,029033333;0,029658333;0,032333333;0,02965;0,023675;0,027975;0,0332
Кропивницький;4853220;Оксид азоту;0,013775;0,0177;0,0143;0,015575;;0,0146;0,020175;0,014175;0,02005;0,013525;0,015725;;0,015433333;0,020125;0,020425;0,01285;0,021825;0,0183;0,0163;0,012675;0,0134;0,018275;0,015825;0,019125;0,0232;0,01745;0,0149;0,01845;0,016575
Кропивницький;4853220;Сажа;0,016666667;0,025;0,025;0,02;;0,02;0,025;0,02;0,031666667;0,018333333;0,026666667;;0,021666667;0,025;0,026666667;0,026666667;0,028333333;0,023333333;0,013333333;0,023333333;0,025;0,021666667;0,026666667;0,033333333;0,018333333;0,023333333;0,023333333;0,03;0,02
Кропивницький;4853220;Формальдегiд;0,005633333;0,0046;0,004133333;0,003066667;;0,004666667;0,005766667;0,0042;0,004166667;0,003466667;0,005333333;;0,005266667;0,004333333;0,006333333;0,003033333;0,0043;0,002;0,0038;0,004266667;0,005066667;0,003833333;0,007433333;0,003833333;0,004633333;0,004666667;0,005733333;0,0067;0,003833333
Світловодськ;4903340;Завислі речовини;0,05;0,1;0;0;;0,05;0,05;0,05;0,05;0;0;;;0,05;0,05;0,05;0;0,05;0,15;0,1;0;0;0;0;;0,05;0,05;0;0
Світловодськ;4903340;Дiоксид сiрки;0,023;0,006466667;0,0084;0,006333333;;0,033566667;0,019233333;0,0453;0,023133333;0,010766667;0,0126;;;0,012466667;0,020733333;0,046733333;0,042866667;0,0267;0,030933333;0,026833333;0,0041;0,028633333;0,0062;0,090733333;;0,0333;0,0421;0,051333333;0,0207
Світловодськ;4903340;Сульфати;0,01;0,01;0;0,005;;0,01;0,01;0;0,005;0,01;0;;;0,005;0;0,01;0,01;0,005;0,005;0;0,005;0,01;0,01;0,01;;0,005;0,01;0,01;0,005
Світловодськ;4903340;Оксид вуглецю;1;1;1;1;;1;0,5;0;1;1;1;;;1,5;1,5;1;1;1;1,5;1;1,5;1;1;1;;1;1;1;1
Світловодськ;4903340;Дiоксид азоту;0,041066667;0,0315;0,027466667;0,023966667;;0,0409;0,0278;0,049133333;0,044466667;0,024666667;0,017066667;;;0,037266667;0,0375;0,0301;0,037;0,0169;0,033866667;0,064633333;0,069466667;0,060733333;0,034033333;0,047566667;;0,027666667;0,038066667;0,054166667;0,044433333
