city;coordinateNumber;nameImpurity;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
Луцьк;5082530;Формальдегiд;null;null;null;null;null;null;null;null;null;0,006;0,006;0,006;null;0,007;0,007;0,006;0,004;0,004;0,004;null;0,006;0,007;0,007;0,007;0,009;0,009;null;0,021;0,024;0,019;0,011
Ужгород;4862230;Завислі речовини;0,12;0,11;0,13;0,16;0,1;null;0,14;0,05;0,03;0,03;0,08;0,08;null;0,14;0,09;0,1;0,06;0,08;0,07;null;0,09;0,11;0,06;0,15;0,07;0,18;null;0,1;0,07;0,07;0,1
Ужгород;4862230;Дiоксид сiрки;0,018;0,034;0,022;0,018;0,024;null;0,017;0,012;0,014;0,013;0,014;0,017;null;0,018;0,019;0,012;0,012;0,012;0,012;null;0,015;0,018;0,016;0,017;0,014;0,01;null;0,011;0,013;0,019;0,016
Ужгород;4862230;Сульфати;0,03;0;0;0,01;0;null;0;0,01;0;0;0;0;null;0;0,01;0,01;0,01;0;0;null;0;0,01;0;0;0,01;0;null;0;0;0,01;0,01
Ужгород;4862230;Оксид вуглецю;0,7;0,9;0,9;0,8;0,8;null;0,9;0,8;0,7;0,6;0,7;0,7;null;0,8;1;0,8;0,7;0,8;0,8;null;0,7;0,7;0,8;0,8;0,7;0,8;null;0,7;0,7;0,8;1
Ужгород;4862230;Дiоксид азоту;0,05;0,06;0,05;0,05;0,07;null;0,08;0,06;0,04;0,04;0,03;0,04;null;0,05;0,04;0,04;0,04;0,05;0,04;null;0,05;0,05;0,04;0,05;0,06;0,05;null;0,05;0,04;0,05;0,04
Ужгород;4862230;Оксид азоту;0,04;0,05;0,08;0,04;0,06;null;0,08;0,07;0,04;0,03;0,05;0,03;null;0,03;0,04;0,04;0,05;0,04;0,06;null;0,04;0,04;0,07;0,06;0,06;0,05;null;0,04;0,03;0,03;0,02
Ужгород;4862230;Формальдегiд;0,006;0,012;0,023;0,011;0,009;null;0,019;0,012;0,009;0,005;0,007;0,01;null;0,009;0,013;0,006;0,006;0,005;0,007;null;0,025;0,01;0,016;0,029;0,016;0,008;null;0,008;0,007;0,006;0,009
Запоріжжя;4793510;Завислі речовини;0,08;0,08;0,08;0,13;0,1;null;0,12;0,1;0,12;0,14;0,1;0,16;null;0,12;0,11;0,19;0,12;0,16;0,22;null;0,11;0,13;0,1;0,08;0,12;0,14;null;0,1;0,34;0,34;0,21
Запоріжжя;4793510;Дiоксид сiрки;0,007;0,009;0,007;0,007;0,006;null;0,006;0,007;0,007;0,008;0,006;0,009;null;0,007;0,007;0,009;0,007;0,009;0,008;null;0,006;0,006;0,007;0,007;0,007;0,007;null;0,008;0,009;0,009;0,006
Запоріжжя;4793510;Сульфати;null;null;null;0,03;0,02;null;0,01;0,02;0,02;0,02;0,02;0,03;null;0,03;0,02;0,03;0,02;0,02;0,02;null;0,02;0,01;0,01;0,02;0,03;0,02;null;0,02;0,01;0,01;0,01
Запоріжжя;4793510;Оксид вуглецю;0,4;0,4;0,5;0,6;0,6;null;0,7;0,7;0,6;0,6;0,8;1,1;null;0,7;0,5;0,6;0,6;0,8;0,8;null;0,6;0,5;0,6;0,5;0,6;0,7;null;0,8;0,7;0,8;0,4
Запоріжжя;4793510;Дiоксид азоту;0,05;0,08;0,09;0,07;0,07;null;0,06;0,08;0,08;0,08;0,1;0,08;null;0,08;0,09;0,08;0,08;0,08;0,07;null;0,06;0,07;0,06;0,07;0,07;0,08;null;0,06;0,06;0,06;0,05
Запоріжжя;4793510;Оксид азоту;0,04;0,04;0,07;0,06;0,04;null;0,05;0,04;0,05;0,04;0,06;0,06;null;0,05;0,05;0,06;0,06;0,06;0,05;null;0,04;0,05;0,05;0,04;0,05;0,06;null;0,05;0,04;0,04;0,04
Запоріжжя;4793510;Сiрководень;0,004;0,005;0,004;0,003;0,003;null;0,003;0,003;0,003;0,003;0,004;0,004;null;0,004;0,003;0,004;0,004;0,006;0,004;null;0,003;0,003;0,003;0,003;0,004;0,004;null;0,004;0,004;0,004;0,003
Запоріжжя;4793510;Фенол;0,007;0,007;0,008;0,006;0,006;null;0,005;0,006;0,006;0,007;0,007;0,007;null;0,007;0,008;0,007;0,006;0,007;0,006;null;0,005;0,006;0,006;0,006;0,008;0,007;null;0,005;0,005;0,006;0,005
Запоріжжя;4793510;Фтористий водень;null;null;null;0,001;0;null;0;0;0;0;0,001;0;null;0,001;0,001;0;0;0;0;null;0;0;0;0;0,001;0,001;null;0;0;0;0
Запоріжжя;4793510;Хлористий водень;0,04;0,05;0,04;0,03;0,04;null;0,04;0,03;0,03;0,05;0,03;0,05;null;0,04;0,04;0,05;0,04;0,05;0,04;null;0,04;0,03;0,03;0,04;0,04;0,05;null;0,04;0,04;0,05;0,04
