city;coordinateNumber;nameImpurity;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
Луцьк;5082530;Дiоксид сiрки;0,002375;0,001916667;0,002325;0,002341667;0,0019;null;0,001966667;0,001883333;0,001725;0,001533333;0,002216667;0,001741667;null;0,002266667;0,001725;0,001966667;0,002675;0,002408333;0,00145;null;0,0032;0,002225;0,00245;0,003483333;0,00245;0,001558333;null;0,001433333;0,00175;0,001833333
Луцьк;5082530;Сульфати;0,01;0,01;0,005;0,01;0;null;0,01;0,005;0,005;0;0,01;0,01;null;0,015;0,01;0,01;0,01;0,01;0;null;0,005;0,005;0,005;0,01;0,01;0;null;0,01;0,01;0,01
Луцьк;5082530;Оксид вуглецю;0;0;0;0;0;null;0;0;0,333333333;0,666666667;0,333333333;0;null;0,166666667;0;0,166666667;0,333333333;0,5;0;null;0,666666667;0,833333333;0,666666667;0,666666667;0,5;0;null;0,333333333;0;0,166666667
Луцьк;5082530;Дiоксид азоту;0,0543;0,047525;0,0722;0,064525;0,051666667;null;0,059991667;0,056308333;0,056908333;0,052825;0,050266667;0,053058333;null;0,06445;0,055375;0,054791667;0,078408333;0,073533333;0,043508333;null;0,080841667;0,076083333;0,094741667;0,122266667;0,086708333;0,048533333;null;0,0567;0,058608333;0,07615
Луцьк;5082530;Оксид азоту;0,0234;0,0149;0,024775;0,01755;0,0199;null;0,02275;0,031925;0,0267;0,024575;0,021525;0,0207;null;0,02705;0,01715;0,01815;0,04075;0,0194;0,011325;null;0,05505;0,051975;0,043875;0,05585;0,035775;0,01545;null;0,0279;0,0238;0,0217
Луцьк;5082530;Фенол;0,00595;0,005875;0,006191667;0,007366667;0,004775;null;0,0065;0,005525;0,006133333;0,006891667;0,00595;0,005666667;null;0,007133333;0,006741667;0,005941667;0,006325;0,006341667;0,004308333;null;0,006975;0,005466667;0,0064;0,006425;0,005808333;0,00485;null;0,005391667;0,006366667;0,0058
Луцьк;5082530;Формальдегiд;0,0027;0,002475;0,00315;0,0027;0,0019125;null;0,0018625;0,00305;0,0019125;0,0017625;0,002425;0,002225;null;0,0028125;0,003575;0,0037625;0,00535;0,0076625;0,0058375;null;0,0086375;0,0114375;0,009925;0,006675;0,00555;0,0045625;null;0,0065;0,00675;0,0054125
Ужгород;4862230;Завислі речовини;0,0725;0,0625;0,085;0,07;0,14;null;0,145;0,0775;0,0625;0,0375;0,0525;0,095;null;0,065;0,025;0,095;0,11;0,065;0,1025;null;0,07;0,08;0,1;0,0775;0,1025;0,075;null;0,08;0,11;0,1
Ужгород;4862230;Дiоксид сiрки;0,006375;0,006125;0,004875;0,004;0,004125;null;0,004875;0,004875;0,004625;0,004625;0,0055;0,006;null;0,005375;0,003125;0,005125;0,009125;0,006875;0,00625;null;0,00675;0,0045;0,003;0,005;0,003125;0,00175;null;0,003875;0,0045;0,0045
Ужгород;4862230;Сульфати;0,0055;0,0015;0,0045;0,009;0,007;null;0,0055;0,0035;0,005;0,003;0,0025;0,0015;null;0,003;0,002;0,0005;0,005;0,004;0,002;null;0,001;0,003;0,0025;0,002;0,005;0,0015;null;0,0015;0,004;0,0035
Ужгород;4862230;Оксид вуглецю;0,895;0,805;0,99;0,835;0,75;null;0,9225;0,8625;0,9525;0,6825;1,1175;0,8075;null;0,9425;0,915;0,85;0,89;0,815;0,8275;null;0,8425;0,7375;0,83;0,83;0,825;0,6875;null;0,725;0,675;0,6675
Ужгород;4862230;Дiоксид азоту;0,061875;0,062875;0,055375;0,043625;0,04925;null;0,056375;0,0765;0,07;0,049625;0,048875;0,043125;null;0,0635;0,046375;0,03675;0,051875;0,048;0,047125;null;0,062875;0,040125;0,0325;0,03475;0,044875;0,03575;null;0,046625;0,036375;0,055375
Ужгород;4862230;Оксид азоту;0,02625;0,0245;0,028;0,01225;0,0185;null;0,02625;0,034;0,01375;0,01925;0,01775;0,0265;null;0,0375;0,02875;0,01925;0,038;0,02425;0,04;null;0,04675;0,02;0,01125;0,03725;0,0185;0,0245;null;0,04425;0,021;0,016
Ужгород;4862230;Формальдегiд;0,004;0,00375;0,004875;0,008375;0,00575;null;0,0025;0,00125;0,0025;0,00325;0,002875;0,00375;null;0,01175;0,01;0,010125;0,016625;0,01075;0,01275;null;0,0225;0,01325;0,009875;0,016125;0,010625;0,00525;null;0,01175;0,01425;0,00775
Запоріжжя;4793510;Завислі речовини;0,1;0,16;0,15;0,14;0,08;null;0,13;0,1;0,09;0,13;0,11;0,13;null;0,11;0,11;0,09;0,09;0,09;0,1;null;0,07;0,09;0,14;0,15;0,14;0,11;null;0,07;0,08;0,11
Запоріжжя;4793510;Дiоксид сiрки;0,0058;0,006992857;0,007021429;0,006214286;0,005678571;null;0,006269231;0,005957143;0,005271429;0,005878571;0,006364286;0,006457143;null;0,006507692;0,007614286;0,006564286;0,007035714;0,007914286;0,005914286;null;0,006107692;0,0065;0,007635714;0,006878571;0,006192857;0,00615;null;0,006830769;0,006342857;0,006957143
Запоріжжя;4793510;Сульфати;0,01;0,015;0,02;0,01;0,015;null;0,01;0,01;0,015;0,015;0,01;0,015;null;0,015;0,025;0,01;0,015;0,02;0,015;null;0,015;0,01;0,015;0,015;0,015;0,015;null;0,015;0,01;0,015
Запоріжжя;4793510;Оксид вуглецю;0,46;0,48;0,6;0,56;0,32;null;0,42;0,45;0,48;0,43;0,4;0,41;null;0,46;0,58;0,48;0,48;0,68;0,55;null;0,43;0,45;0,63;0,97;0,72;0,48;null;0,41;0,51;0,43
Запоріжжя;4793510;Дiоксид азоту;0,069742857;0,0932;0,086021429;0,064264286;0,071721429;null;0,066307692;0,061064286;0,056528571;0,057842857;0,062764286;0,059414286;null;0,068884615;0,09935;0,068771429;0,070178571;0,092942857;0,052007143;null;0,066723077;0,064721429;0,093035714;0,088085714;0,079328571;0,053742857;null;0,061738462;0,0626;0,076971429
Запоріжжя;4793510;Оксид азоту;0,0448;0,047133333;0,0518;0,0475;0,034233333;null;0,050333333;0,045566667;0,041133333;0,050333333;0,040233333;0,0333;null;0,046166667;0,058033333;0,047466667;0,040666667;0,050166667;0,038866667;null;0,0526;0,0341;0,055433333;0,060533333;0,044533333;0,041933333;null;0,039066667;0,040166667;0,041133333
Запоріжжя;4793510;Сiрководень;0,003072727;0,003072727;0,003372727;0,003436364;0,002954545;null;0,003255556;0,003;0,003;0,002890909;0,002654545;0,003927273;null;0,003333333;0,002927273;0,002563636;0,002627273;0,002836364;0,003518182;null;0,002755556;0,003;0,0029;0,003754545;0,003927273;0,003654545;null;0,004155556;0,0033;0,002918182
