city;coordinateNumber;nameImpurity;1October;2October;3October;4October;5October;6October;7October;8October;9October;10October;11October;12October;13October;14October;15October;16October;17October;18October;19October;20October;21October;22October;23October;24October;25October;26October;27October;28October;29October;30October;31October;;;;;;;;;;;;
Вінниця;4922860;Формальдегiд;0,002;0,002025;0,003025;0,0123;0,011225;null;0,001;0,01605;0,002025;0,014325;0,010275;0,009;null;0,007925;0,011825;0,007875;0,011625;0,002925;0,006;null;0,009725;0,0165;0,003875;0,00575;0,0077;0,009725;null;0,006925;0,013875;0,0199;0,015925;;;;;;;;;;;;
Луцьк;5082530;Завислі речовини;0,05;0,1;0,066666667;0,066666667;0,016666667;null;0,083333333;0,083333333;0,066666667;0,083333333;0,033333333;0,033333333;null;0,05;0,066666667;0,05;0,116666667;0,1;0,05;null;0,083333333;0,1;0,05;0,116666667;0,033333333;0,033333333;null;0,066666667;0,083333333;0,05;0,083333333;;;;;;;;;;;;
Луцьк;5082530;Дiоксид сiрки;0,0024;0,00175;0,002025;0,002308333;0,001525;null;0,00245;0,001666667;0,001841667;0,00185;0,00265;0,002425;null;0,002891667;0,002966667;0,002725;0,00405;0,004925;0,002066667;null;0,002891667;0,002708333;0,003441667;0,000783333;0,002108333;0,001866667;null;0,002883333;0,002216667;0,002158333;0,0027;;;;;;;;;;;;
Луцьк;5082530;Сульфати;0,01;0,01;0,01;0,01;0,005;null;0,01;0,015;0,015;0,015;0,01;0;null;0,005;0,01;0,01;0,01;0,015;0,005;null;0,015;0,015;0,005;0,005;0,01;0;null;0,01;0,01;0,01;0,01;;;;;;;;;;;;
Луцьк;5082530;Оксид вуглецю;0;0;0,166666667;0;0;null;0,5;0,166666667;0,5;0,166666667;0;0;null;0,166666667;0,333333333;0,166666667;0,5;0,166666667;0;null;0,333333333;0,5;0,166666667;0,333333333;0,166666667;0;null;0;0,166666667;0;0;;;;;;;;;;;;
Луцьк;5082530;Дiоксид азоту;0,088191667;0,0616;0,057825;0,061283333;0,053508333;null;0,073575;0,06765;0,089875;0,098783333;0,09375;0,059166667;null;0,085966667;0,076941667;0,080125;0,079741667;0,089866667;0,059866667;null;0,08945;0,096591667;0,095608333;0,0621;0,074016667;0,0643;null;0,117341667;0,095758333;0,10485;0,089291667;;;;;;;;;;;;
Луцьк;5082530;Оксид азоту;0,0463;0,02405;0,025;0,035225;0,029025;null;0,034425;0,027925;0,030825;0,03485;0,056975;0,025675;null;0,037075;0,0404;0,042;0,036475;0,050375;0,039725;null;0,058475;0,046325;0,056925;0,0244;0,0385;0,036425;null;0,0683;0,043325;0,067175;0,04565;;;;;;;;;;;;
Луцьк;5082530;Фенол;0,007333333;0,006341667;0,00665;0,005841667;0,004966667;null;0,007308333;0,006366667;0,00795;0,007641667;0,006775;0,005216667;null;0,0046;0,00565;0,006925;0,004641667;0,006441667;0,005025;null;0,005141667;0,005808333;0,004691667;0,004858333;0,005258333;0,003641667;null;0,0061;0,005416667;0,006266667;0,005758333;;;;;;;;;;;;
Луцьк;5082530;Формальдегiд;0,005675;0,0055;0,0064375;0,0063125;0,00495;null;0,00585;0,00855;0,0103625;0,011775;0,011725;0,0071625;null;0,00805;0,003875;0,0048375;0,0069875;0,0077125;0,0049875;null;0,0112;0,0107875;0,007525;0,007775;0,0078625;0,006475;null;0,0058875;0,0050875;0,0077;0,007225;;;;;;;;;;;;
Ужгород;4862230;Завислі речовини;0,18;0,2175;0,205;0,255;0,25;null;0,165;0,1525;0,1625;0,185;0,1575;0,15;null;0,1275;0,155;0,1475;0,1975;0,16;0,1575;null;0,1375;0,1575;0,19;0,2475;0,2525;0,2175;null;0,2275;0,16;0,166666667;0,225;;;;;;;;;;;;
